# Meta-Data
filename,method,iterations,points
/home/pumas/coyo/bioroboSet/gauss.pcd,LBG,7,500000
# Data
simulation,time,distorsion,clusters
0,0.40523,399159,8,8
1,0.37224,399159,8,8
2,0.364549,399159,8,8
3,0.370613,399159,8,8
4,0.373408,399159,8,8
5,0.367618,399159,8,8
6,0.368094,399159,8,8
7,0.367023,399159,8,8
8,0.372795,399159,8,8
9,0.370199,399159,8,8
10,0.368084,399159,8,8
11,0.661847,294508,16,16
12,0.655243,294508,16,16
13,0.657851,294508,16,16
14,0.657875,294508,16,16
15,0.662125,294508,16,16
16,0.656475,294508,16,16
17,0.656313,294508,16,16
18,0.664161,294508,16,16
19,0.657355,294508,16,16
20,0.656623,294508,16,16
21,0.656947,294508,16,16
22,1.15652,212804,32,32
23,1.15404,212804,32,32
24,1.15026,212804,32,32
25,1.14773,212804,32,32
26,1.16117,212804,32,32
27,1.15062,212804,32,32
28,1.17828,212804,32,32
29,1.20982,212804,32,32
30,1.15974,212804,32,32
31,1.16767,212804,32,32
32,1.16453,212804,32,32
33,2.10711,154167,64,64
34,2.11736,154167,64,64
35,2.12321,154167,64,64
36,2.08736,154167,64,64
37,2.11529,154167,64,64
38,2.07815,154167,64,64
39,2.07779,154167,64,64
40,2.07421,154167,64,64
41,2.07918,154167,64,64
42,2.07875,154167,64,64
43,2.07944,154167,64,64
44,3.86418,110403,128,128
45,3.88538,110403,128,128
46,3.84547,110403,128,128
47,3.84164,110403,128,128
48,3.84081,110403,128,128
49,3.84221,110403,128,128
50,3.8774,110403,128,128
51,3.89341,110403,128,128
52,3.89096,110403,128,128
53,3.90421,110403,128,128
54,3.88136,110403,128,128
55,7.43131,78406.3,256,256
56,7.36619,78406.3,256,256
57,7.35341,78406.3,256,256
58,7.3703,78406.3,256,256
59,7.36307,78406.3,256,256
60,7.37174,78406.3,256,256
61,7.37163,78406.3,256,256
62,7.37004,78406.3,256,256
63,7.37269,78406.3,256,256
64,7.39195,78406.3,256,256
65,7.37024,78406.3,256,256
66,14.1246,55720.2,512,512
67,14.1574,55720.2,512,512
68,14.153,55720.2,512,512
69,14.1274,55720.2,512,512
70,14.1549,55720.2,512,512
71,14.1973,55720.2,512,512
72,14.1477,55720.2,512,512
73,14.1839,55720.2,512,512
74,14.2459,55720.2,512,512
75,14.1935,55720.2,512,512
76,14.1993,55720.2,512,512
77,27.2549,39372.6,1024,1024
78,27.2628,39372.6,1024,1024
79,27.3708,39372.6,1024,1024
80,27.6955,39372.6,1024,1024
81,27.3321,39372.6,1024,1024
82,27.4547,39372.6,1024,1024
83,27.4442,39372.6,1024,1024
84,27.4184,39372.6,1024,1024
85,27.2414,39372.6,1024,1024
86,27.236,39372.6,1024,1024
87,27.4886,39372.6,1024,1024
