Clusters: 516
Codebook: x,y,z,label
Occupied Nodes: 437
-2.64982,6.87074,0.95965,0
4.7621,-2.43416,0.294801,1
3.64556,-3.05236,0.304174,2
2.22713,3.32521,1.36726,3
2.10109,3.54772,0.907645,4
3.65633,-0.213257,1.03533,5
-4.12925,5.09142,1.05399,6
-3.65766,4.3625,0.727259,7
-1.84635,6.55046,0.647,8
-2.39414,6.22972,0.73444,9
0.93878,5.75381,1.20721,10
1.15475,5.52488,1.10414,11
-1.84141,7.54817,1.28543,12
-1.9934,7.20964,0.905879,13
-2.26119,0.844661,1.29217,14
-1.782,-0.12473,1.27618,15
-1.82813,2.8795,0.758284,16
-2.42466,2.54468,0.739886,17
3.30043,0.760362,0.907916,18
-2.4748,3.50477,0.602571,19
-3.32246,3.34643,1.16228,20
-1.07075,7.31677,0.399138,21
-2.64307,1.85544,1.14775,22
-2.37624,1.35135,0.874809,23
-0.533109,6.71403,1.07743,24
-0.612614,6.7503,0.871332,25
2.79861,-1.13707,0.395326,26
1.60196,4.62116,1.31926,27
1.87555,4.05596,1.31003,28
-1.69327,2.35938,0.683939,29
-1.73831,1.85637,0.64027,30
-0.434426,8.30981,1.00089,31
-0.507958,8.18667,1.12324,32
0.0870266,2.21805,0.282263,33
0.88067,5.73051,0.846726,34
1.00601,5.38451,0.730245,35
0.418466,6.58029,0.615342,36
0.429443,6.58891,0.435806,37
-1.02631,8.07803,1.46642,38
-1.38286,7.78949,1.35374,39
1.27372,4.76437,1.04596,40
1.52681,4.44238,0.973888,41
0.688983,1.49804,0.729241,42
0.798914,1.1952,0.618146,43
2.16576,-1.0335,0.960349,44
0.563741,1.74906,0.744791,45
0.63914,1.53351,0.453079,46
-0.713206,7.88703,1.00904,47
-1.45203,7.6359,0.882132,48
1.37624,5.13887,1.35569,49
1.27274,5.2203,1.01188,50
2.41372,2.59682,1.12472,51
2.63713,2.0018,1.14969,52
-1.51321,7.31405,0.671781,53
-1.89382,7.6835,0.288536,54
1.81941,4.07002,0.831592,55
1.35058,3.8671,0.423638,56
0.948294,3.63548,0.450445,57
-1.43494,5.9143,0.675275,58
-1.94899,5.70504,0.713182,59
-1.0013,0.256761,0.627407,60
2.4737,2.36787,0.575166,61
0.870208,1.08542,1.05879,62
0.765242,0.949116,0.799632,63
-0.235909,7.27084,1.38581,64
-0.264269,7.20858,1.25997,65
0.451747,6.62871,0.91285,66
0.375335,6.60185,0.778532,67
2.35063,0.713196,0.71254,68
2.94751,0.440199,0.295599,69
0.68631,3.88833,1.00435,70
0.798511,3.59939,0.881687,71
