Clusters: 442
Codebook: x,y,z,label
Occupied Nodes: 252
10.5164,-1.63876,1.58711,0
10.8035,-2.02686,1.4655,1
4.67628,-0.156519,1.93491,2
3.96795,-0.00578476,2.03449,3
11.8717,-3.4397,0.498869,4
1.87677,-2.43732,0.736302,5
1.96958,-2.54684,0.503271,6
11.7355,-4.30945,0.355659,7
8.86091,-1.04057,1.5102,8
8.1956,-0.965628,1.50261,9
7.42527,-0.631836,0.632781,10
6.52756,-0.726327,0.738129,11
11.5466,-3.07732,1.53315,12
11.6745,-3.23548,1.14104,13
-0.265857,-3.73927,0.530248,14
11.5099,-2.94006,0.724407,15
4.80756,-0.16247,1.28183,16
4.13715,-0.0111543,1.35465,17
3.05732,0.166498,2.03561,18
2.4225,0.0529964,1.73477,19
3.52699,0.0853767,1.53364,20
3.07304,0.176807,1.15945,21
4.35978,-0.0553598,0.813879,22
4.23315,-0.0649384,0.325915,23
9.98941,-1.25987,1.54233,24
9.49666,-1.17133,1.35914,25
11.4877,-5.04749,0.619161,26
11.1783,-5.23711,0.544484,27
1.1386,-4.918,0.479134,28
1.37377,-5.03084,0.3873,29
10.5832,-1.70344,1.11417,30
10.5716,-1.64245,0.683696,31
1.16747,-6.84513,0.471643,32
0.955749,-6.81091,0.279153,33
7.54086,-5.61446,0.434954,34
7.49058,-5.89542,0.458672,35
11.2831,-6.7042,0.365089,36
11.1645,-7.21129,0.286919,37
5.25949,-3.22217,0.618943,38
5.20368,-3.16256,0.347353,39
5.88594,-0.436514,0.599255,40
8.36967,-7.7952,0.557982,41
8.43432,-8.01626,0.408403,42
1.02285,-5.54427,0.752794,43
1.04758,-5.79063,0.733552,44
2.5594,-7.04896,0.269718,45
11.4696,-5.58454,0.32568,46
11.375,-6.17074,0.331897,47
10.1418,-7.99224,0.558113,48
9.79077,-8.08307,0.538753,49
2.44078,0.109456,0.666727,50
0.275837,-2.39622,0.801373,51
0.149644,-2.62428,0.497924,52
9.23776,-7.22645,0.362915,53
1.28831,-5.24512,0.728615,54
0.952438,-5.30006,0.760394,55
7.12616,-3.07672,0.342174,56
7.00326,-3.42472,0.450891,57
3.67465,-4.06328,0.49705,58
3.64457,-4.1771,0.272694,59
8.07382,-0.782252,0.732099,60
7.74259,-0.70827,0.589909,61
4.51002,-0.507752,0.575822,62
10.8426,-2.0411,0.797651,63
11.0427,-1.98786,0.373086,64
10.9702,-4.86164,0.755713,65
10.987,-4.80749,0.38176,66
10.0413,-4.5615,0.785078,67
9.55631,-4.41284,0.730886,68
7.68317,-5.01485,0.525436,69
7.66888,-5.10053,0.312265,70
3.65024,0.0508165,0.696206,71
3.05693,0.153646,0.332204,72
8.93876,-8.08426,0.343728,73
7.84965,-4.19232,0.475047,74
7.72871,-4.43714,0.27897,75
8.83796,-4.54763,1.3114,76
8.79636,-4.54886,0.906767,77
10.5801,-9.91055,0.777683,78
10.5696,-9.91856,0.767003,79
1.09041,-2.88486,0.353806,80
-0.204996,-4.05173,0.27256,81
1.19533,-0.702464,1.91552,82
0.6544,-1.09831,1.88211,83
1.79954,-2.87561,0.697402,84
1.66138,-2.98339,0.462908,85
1.16799,-0.683463,1.14187,86
1.22122,-0.681151,0.351941,87
6.66328,-3.01948,0.380864,88
0.272826,-1.64422,0.490714,89
10.6362,-7.46572,0.382089,90
10.1782,-7.40925,0.376805,91
0.771576,-0.98112,0.435162,92
4.69509,-3.45433,0.457364,93
4.37155,-3.4032,0.489817,94
4.14242,-3.35857,0.292606,95
2.12845,-0.873529,1.60635,96
2.04729,-0.926353,1.2513,97
2.90321,-7.11196,0.331752,98
2.71327,-7.08989,0.502087,99
10.5078,-4.76089,0.794832,100
10.1185,-5.02913,0.731854,101
3.21787,-6.79575,0.51028,102
1.0334,-5.3309,0.407904,103
8.71462,-4.84004,0.340173,104
1.39307,-2.2462,0.679738,105
1.45592,-2.25079,0.31924,106
7.38764,-6.452,0.522771,107
7.3583,-6.64224,0.339384,108
7.87243,-4.25138,1.1788,109
7.85115,-4.14507,0.766673,110
1.1271,-4.76192,0.377637,111
7.53711,-6.93819,0.680558,112
7.33533,-6.85881,0.621333,113
7.75495,-3.22034,0.472497,114
7.48753,-3.13483,0.452318,115
10.316,-5.01396,0.46599,116
10.0672,-5.11953,0.338746,117
9.31089,-7.70015,0.495656,118
9.07905,-7.85127,0.404798,119
8.77707,-4.45983,0.595835,120
1.37403,-2.94195,0.299408,121
6.93662,-3.61054,0.656716,122
6.9302,-3.96978,0.573519,123
10.3714,-1.34225,0.499337,124
3.51259,-4.95679,0.482523,125
3.45226,-5.16918,0.322775,126
7.30252,-3.67073,0.667116,127
7.26103,-3.98772,0.602497,128
9.65612,-4.80467,0.871542,129
9.4156,-4.85427,0.500284,130
9.44193,-8.38426,0.537283,131
9.23956,-8.30027,0.520603,132
0.017362,-6.63293,0.45384,133
-0.511145,-6.34094,0.254051,134
5.23569,-0.228569,0.596729,135
6.22727,-2.95254,0.382422,136
5.86939,-2.80148,0.299787,137
8.70455,-5.07368,1.21617,138
8.67069,-5.11412,0.773551,139
9.37384,-1.0925,0.822477,140
9.06721,-1.10791,0.418702,141
3.55558,-4.67055,0.457681,142
7.04682,-0.89714,0.322503,143
3.37374,-5.85017,0.498679,144
3.33472,-6.06077,0.448245,145
10.0538,-1.1745,0.393362,146
7.41923,-3.3556,0.529237,147
9.98643,-8.47767,0.581343,148
6.50483,-3.91884,0.436516,149
1.50316,-6.90737,0.480194,150
8.5764,-0.916938,0.921405,151
7.44631,-6.14135,0.514071,152
7.70491,-6.97792,0.674318,153
8.65897,-0.887533,0.470712,154
5.54355,-3.27512,0.570052,155
0.0344277,-6.16382,0.481821,156
9.05217,-4.36056,0.755175,157
5.09922,-3.4586,0.551415,158
1.92112,-2.78824,0.424233,159
4.47808,-1.46865,0.261784,160
0.788004,-2.8278,0.362343,161
2.23783,-0.8206,0.499956,162
7.56577,-1.05516,0.26662,163
1.05392,-5.028,0.755297,164
3.38275,-5.71736,0.361055,165
3.75839,-3.46036,0.384433,166
9.32369,-4.35863,0.457123,167
0.938781,-2.7749,0.668757,168
6.58734,-3.61456,0.707806,169
0.250874,-7.04218,0.563296,170
9.83188,-4.49422,0.498068,171
9.5926,-7.50446,0.491376,172
9.77314,-1.17402,0.835887,173
3.14249,-7.08825,0.351302,174
3.3056,-6.27442,0.478064,175
5.5225,-2.75853,0.466476,176
10.9539,-8.26523,0.682456,177
1.12051,-2.19497,0.674894,178
9.00105,-1.06472,1.11694,179
8.11213,-1.17464,0.256661,180
5.27397,-2.85537,0.468952,181
