Clusters: 1024
Codebook: x,y,z,label
Occupied Nodes: 823
-0.318105,-0.54968,0.242757,0
0.139606,-0.584935,0.329908,1
-0.351638,0.446817,0.57937,2
0.0680603,0.798234,0.360155,3
-0.268529,0.77291,0.352276,4
-0.737932,-0.510522,0.114182,5
-0.168763,-0.573162,0.715429,6
0.413974,-0.754699,0.385665,7
-0.582511,-0.551216,0.630821,8
0.42767,0.772651,0.51448,9
0.854549,0.649192,0.259439,10
-0.562562,0.979472,0.284172,11
-0.34651,0.453399,1.01714,12
-0.282045,0.844147,0.79945,13
-0.974385,-0.621017,0.325984,14
0.30036,-0.708261,0.958073,15
0.792027,-0.937707,0.328888,16
-0.18055,-0.573183,1.13853,17
0.612975,1.0454,0.548188,18
0.997513,0.693495,0.579952,19
0.0331635,1.1753,0.690588,20
-0.928389,-0.58333,0.836959,21
0.743677,-0.903727,0.74229,22
-0.605611,-0.555411,1.14298,23
-0.811365,1.02655,0.582601,24
0.453335,1.19234,0.731492,25
-1.05136,-0.844921,0.693851,26
-0.346198,0.456688,1.4096,27
-1.08599,-1.03367,0.271558,28
-0.28749,0.863711,1.22195,29
0.741533,-1.35047,0.263409,30
1.48586,-0.461023,0.256049,31
-0.0910845,1.25404,0.981327,32
0.821373,1.14139,0.798153,33
0.74701,-0.926413,1.11093,34
1.47238,-0.416862,0.579223,35
-0.758257,1.01599,1.04994,36
1.08358,1.05186,0.687872,37
-0.405341,-0.544596,1.52309,38
0.031788,-0.603228,1.56014,39
0.746228,-1.32373,0.733183,40
1.29667,1.0469,0.289968,41
0.263093,1.27677,1.11749,42
-1.30763,1.12005,0.167287,43
-1.01371,-0.713376,1.21691,44
1.46299,-0.38991,0.874244,45
1.63139,0.61588,0.172557,46
0.399495,-0.771476,1.52275,47
-1.11819,-1.20626,0.640932,48
-1.23507,1.103,0.770322,49
1.64005,-0.790409,0.332244,50
1.41148,1.00652,0.659971,51
-0.347455,0.461125,1.76387,52
-1.10128,-1.10808,1.05212,53
-1.16912,-1.44201,0.322186,54
0.608809,1.22235,1.30274,55
0.789138,-0.948309,1.4332,56
-0.275671,0.869512,1.65874,57
1.45065,-0.35698,1.19769,58
-0.940636,-0.60759,1.55745,59
-0.0614042,1.26755,1.43932,60
0.664258,-1.76033,0.415302,61
-0.637629,0.99228,1.55154,62
1.67757,0.844747,0.582525,63
1.65076,-0.776051,0.756184,64
-0.633498,-0.549227,1.79933,65
0.72253,-1.44141,1.16119,66
1.54761,-0.629045,1.09364,67
-0.409735,0.159008,1.95088,68
1.04387,1.13675,1.27304,69
-1.17062,-1.45273,0.854645,70
-1.10464,1.08143,1.3554,71
1.9757,-0.411797,0.466023,72
-0.452067,-0.220983,2.0166,73
1.76933,-1.07649,0.219943,74
1.39248,1.0613,1.14793,75
-0.917836,-1.86796,0.227786,76
-0.352514,-0.578151,1.98662,77
0.660941,-1.78644,0.896293,78
1.74952,-1.03294,0.561505,79
1.46237,-0.393784,1.47536,80
-1.14015,-1.68979,0.604128,81
-1.69265,1.19463,0.572202,82
0.287032,1.30384,1.6935,83
-2.01055,-0.605764,0.496263,84
-1.11591,-1.18445,1.43425,85
0.0992172,-0.176838,2.16277,86
-0.302381,0.0846961,2.14965,87
0.79151,-0.954285,1.78693,88
-0.0410334,-0.621375,2.08796,89
2.12567,0.467882,0.166691,90
0.20833,0.312271,2.16297,91
0.30711,-0.73769,2.0462,92
-0.296429,0.502823,2.12241,93
1.6334,-0.871967,1.20172,94
0.737055,-1.35043,1.59124,95
-2.08271,-0.380817,0.648881,96
0.876947,1.18653,1.69202,97
-0.266851,0.86586,2.05594,98
1.98562,-0.43211,0.966426,99
-1.06259,-0.914195,1.7611,100
1.57087,-0.699008,1.45584,101
0.567753,-0.327312,2.16249,102
-1.56291,1.1671,1.14362,103
0.648909,0.113501,2.16413,104
1.73824,0.987807,1.06947,105
-0.895728,-1.96905,0.692854,106
2.13936,0.524507,0.586772,107
2.10411,0.856973,0.206277,108
-1.16844,-1.63952,1.07465,109
-0.583324,-0.513637,2.16019,110
1.46156,-0.398025,1.74315,111
0.191398,0.808019,2.16465,112
0.656279,-0.768328,2.09262,113
1.82615,-1.14438,0.871384,114
-2.29383,-0.292246,0.283663,115
1.80387,-0.970452,1.12525,116
-1.01631,1.06275,1.81958,117
0.614707,-2.25193,0.158891,118
-0.0837419,1.27741,1.96405,119
-0.901235,-1.85365,1.11985,120
0.655301,0.648833,2.16509,121
-0.969948,-0.623454,2.05754,122
-0.66311,0.993897,2.04142,123
2.05099,0.858878,0.807297,124
0.582785,-2.22625,0.584862,125
-2.10947,-0.825548,0.730589,126
-2.10783,-1.03476,0.475799,127
1.02465,0.182415,2.16426,128
-2.13992,-1.07852,0.158967,129
2.13535,0.50248,0.995185,130
-0.996511,-2.21147,0.152377,131
0.644758,-1.8573,1.4507,132
1.49216,1.06044,1.62474,133
0.619356,1.19128,2.04973,134
1.06875,-0.437158,2.16171,135
-0.498318,0.0768176,2.39919,136
-1.16741,-1.64248,1.39885,137
0.248553,1.25075,2.10368,138
1.98773,-1.3794,0.451267,139
2.42147,0.365198,0.283809,140
1.58446,-0.74249,1.73787,141
-0.559613,-0.250775,2.40552,142
0.999129,-0.974711,2.05552,143
-2.13144,1.25382,0.341762,144
-1.45619,1.14885,1.69857,145
1.74273,-1.02913,1.51558,146
1.1229,0.685743,2.16376,147
0.582549,-2.18254,1.14679,148
2.03665,-0.316941,1.4774,149
1.00616,1.1154,2.07429,150
-0.936363,-1.79329,1.57251,151
-1.13122,-1.25649,1.93354,152
0.895236,-2.39984,0.281828,153
-2.44063,-0.403999,0.728476,154
-0.534516,0.414427,2.49162,155
-2.15976,-1.07356,0.921227,156
2.14629,0.491249,1.36467,157
2.03239,0.897354,1.33348,158
1.94571,-0.693579,1.57026,159
1.43524,-0.0980589,2.16127,160
0.67933,-1.67075,1.87381,161
-1.18477,-1.5572,1.73506,162
-0.438256,0.82996,2.44567,163
-2.11498,1.29445,0.86773,164
-0.794013,-0.5045,2.46967,165
0.854213,-1.35713,2.1116,166
1.93886,-1.78876,0.342348,167
2.53222,0.374393,0.774162,168
1.3551,-1.03349,2.06181,169
-2.4194,-0.817013,0.810747,170
1.93794,-1.27727,1.33985,171
-0.893588,0.00459603,2.53048,172
1.97344,-1.64207,0.811578,173
-0.925841,-2.19981,1.25572,174
1.50326,0.401965,2.20454,175
-1.09326,-1.04867,2.23346,176
1.39724,1.05373,2.05548,177
-1.16995,1.09345,2.20229,178
0.561468,-2.64758,0.338948,179
-2.48109,-1.07282,0.377589,180
1.69757,-1.05346,1.8694,181
-0.909451,0.488936,2.53657,182
2.69186,0.354654,0.386768,183
1.59704,-0.562842,2.16186,184
2.08936,0.585944,1.69009,185
-0.8904,-2.02092,1.64079,186
-2.039,1.28335,1.33751,187
-0.935641,-2.52718,0.618505,188
-2.39898,1.17839,0.711144,189
-0.0846722,-2.73674,0.391357,190
-2.70291,-0.235687,0.561376,191
-0.820825,0.914496,2.48515,192
-0.873773,-2.62013,0.25132,193
1.61419,0.596962,2.19748,194
1.70417,0.368728,2.19106,195
0.502702,-2.57948,0.99554,196
-2.45089,-1.09711,0.835494,197
2.52516,0.335781,1.19977,198
-0.9628,-2.46054,0.984964,199
-0.487004,-2.7351,0.506483,200
-1.12383,-0.747081,2.48229,201
1.97659,-1.62395,1.23082,202
-0.963116,-1.80788,1.96706,203
-1.25536,-0.307833,2.53332,204
0.312834,-2.74272,0.711331,205
2.03648,0.937836,1.76438,206
-1.32766,0.224576,2.53175,207
1.82947,-2.1739,0.496548,208
2.25672,0.343452,1.77105,209
2.79865,-0.652105,0.331829,210
2.87236,-0.241483,0.299074,211
-0.132664,-2.74296,0.939415,212
1.93704,-0.0119728,2.16224,213
-2.35332,1.18359,1.25829,214
1.82024,0.975401,2.07946,215
-1.17629,-1.60265,2.15904,216
-1.94198,1.24521,1.8186,217
0.544096,-2.39588,1.61324,218
-1.21485,0.898129,2.52367,219
-0.676045,-2.70016,0.954535,220
2.92121,0.210003,0.302508,221
1.95724,-1.29546,1.80039,222
1.35734,-1.5285,2.15022,223
0.634665,-2.09414,2.00454,224
-1.67265,1.19288,2.15201,225
1.85799,-2.0851,1.03616,226
0.932541,-1.84075,2.15383,227
2.84683,-0.549615,0.709089,228
-2.71115,1.21639,0.321309,229
2.91368,0.310976,0.662954,230
-2.72519,-0.921083,0.871265,231
2.93531,-0.0901706,0.649639,232
-0.949996,-2.31887,1.66927,233
2.07037,0.655779,2.09203,234
-1.25606,-1.14847,2.504,235
2.12572,-0.40723,2.12712,236
1.77369,-1.22358,2.1407,237
1.99351,-0.897535,2.11472,238
2.61306,0.361205,1.51832,239
-2.8447,-1.00226,0.48865,240
2.88125,0.290569,0.975962,241
-2.88283,-0.672585,0.759553,242
-1.60959,0.582642,2.53244,243
0.340524,-2.73977,1.31883,244
-1.72743,-0.228686,2.53294,245
1.97342,-1.64536,1.69148,246
-0.503684,-2.72867,1.33758,247
-1.63293,-0.684119,2.53246,248
-0.902038,-2.6094,1.40174,249
2.8388,-0.569809,1.11908,250
2.92447,-0.129613,1.04625,251
-0.111434,-2.73978,1.50365,252
-1.57732,1.07652,2.49489,253
1.75926,-2.50874,0.700803,254
-3.08149,-0.207319,0.618865,255
-0.920542,-2.1878,2.08557,256
-1.88603,0.218482,2.53429,257
-2.84071,1.24897,0.66263,258
1.87175,-2.04059,1.56745,259
-2.76625,1.24129,0.988605,260
2.35609,0.303115,2.12924,261
-2.82782,-1.48317,0.266557,262
-1.34599,-1.4828,2.51085,263
1.84385,-1.62233,2.09767,264
-0.915886,-1.93918,2.41613,265
-1.76253,-1.07943,2.53024,266
2.9167,-0.183861,1.46387,267
2.92407,0.256947,1.44798,268
-1.19502,-1.78262,2.4831,269
-0.5098,-2.69784,1.81346,270
0.259974,-2.75194,1.79174,271
2.50997,-0.194009,2.1469,272
1.76677,-2.48254,1.30428,273
2.84944,-0.548094,1.61012,274
-0.901056,-2.60171,1.853,275
1.69342,-2.83522,0.329155,276
-2.00851,0.838057,2.53215,277
2.75686,0.344957,1.85555,278
-3.33208,-0.114653,0.269375,279
-2.81278,1.24673,1.32411,280
-3.0856,-0.983194,0.876465,281
-2.22827,-0.147387,2.53345,282
0.907565,-2.43413,2.16166,283
1.33191,-2.23102,2.16235,284
1.74206,-2.01851,2.10238,285
-0.124778,-2.7002,2.0596,286
-3.23155,-1.01506,0.311462,287
2.46746,-0.965047,2.13412,288
-1.98261,1.2932,2.45092,289
0.524622,-2.65023,2.08981,290
-3.26888,-0.629676,0.766102,291
-2.20759,-0.661912,2.53283,292
-2.32021,0.44725,2.50183,293
1.69133,-2.88541,0.86105,294
-2.42731,1.84926,1.64912,295
-1.81672,-1.52564,2.53112,296
2.97079,0.0805302,1.79806,297
-2.34363,1.62315,1.99779,298
2.75238,-0.63466,2.09195,299
-2.42897,0.744175,2.47069,300
2.88606,-0.24948,2.0526,301
-0.917737,-2.6255,2.21148,302
-2.17422,-1.24202,2.53174,303
-0.519578,-2.62583,2.3565,304
-3.19374,1.48155,0.577536,305
1.75729,-2.44126,1.91871,306
-1.63146,-1.91615,2.52976,307
2.8631,0.190678,2.12643,308
-3.5063,-0.240575,0.665694,309
-2.5663,0.216058,2.49216,310
-0.988709,-2.83121,1.98559,311
-1.29279,-2.22191,2.52675,312
-1.90968,1.76704,2.5132,313
-3.41851,-0.922049,0.768601,314
1.87801,-3.07122,0.531918,315
1.71484,-2.93104,1.31243,316
-0.988857,-2.49126,2.47078,317
-2.88587,-2.19067,0.562911,318
-2.71879,0.471162,2.45578,319
-2.42183,1.18842,2.53282,320
-3.55683,1.04775,0.108741,321
-3.6181,0.742679,0.366169,322
2.02917,-3.10616,0.173122,323
-3.7036,0.0725859,0.347747,324
-2.72082,-0.253632,2.53295,325
-3.53881,1.08732,0.517273,326
0.22343,-2.82439,2.44304,327
-3.44371,1.45325,0.271956,328
-1.1125,-3.57381,0.308485,329
-2.75566,0.797671,2.45546,330
1.97532,-3.08664,0.945848,331
-2.56,-1.1855,2.53262,332
-2.05931,-1.93252,2.53071,333
0.203681,-3.78145,0.233834,334
0.732087,-2.88611,2.40018,335
1.7249,-2.92955,1.75227,336
-1.13583,-3.58933,0.675234,337
-0.232606,-2.88279,2.50447,338
-3.72822,0.5311,0.682686,339
-2.78383,-0.752845,2.53272,340
-2.96767,1.82219,1.61706,341
-1.72879,-2.33914,2.52489,342
-1.039,-3.1016,2.03941,343
-3.67711,-0.771384,0.864223,344
-2.4893,1.59142,2.49982,345
1.12792,-2.89191,2.31219,346
1.57169,-2.82375,2.13608,347
-0.756205,-2.84785,2.51833,348
-3.81713,0.0715385,0.709185,349
-3.53281,1.4728,0.70376,350
-3.30846,-1.96997,0.582383,351
-1.13317,-3.58335,1.02501,352
-2.3296,1.90354,2.47492,353
-3.79146,-0.826057,0.433755,354
-3.8181,-0.438167,0.788789,355
-3.21243,2.05586,0.920225,356
-2.44775,-1.7402,2.53199,357
-3.73003,0.995581,0.736846,358
0.606684,-3.88193,0.354163,359
-3.0553,0.251835,2.49806,360
-2.93049,1.73262,2.06452,361
-1.05622,-2.97416,2.43572,362
-3.07419,0.706881,2.44691,363
-1.13494,-3.57932,1.36176,364
2.13149,-3.11807,1.34071,365
2.2966,-3.20751,0.71343,366
-1.46223,-2.76841,2.52354,367
-2.89452,1.20439,2.53322,368
2.32902,-3.2943,0.300853,369
-3.06189,-2.69227,0.308567,370
-3.19097,-0.40868,2.53861,371
-1.1317,-3.57359,1.67343,372
-1.10131,-3.41919,2.02134,373
-1.19053,-3.94317,0.366461,374
-3.02634,-1.24386,2.53416,375
-2.03911,-2.58158,2.52513,376
0.156345,-4.13057,0.384447,377
1.04958,-3.99847,0.386699,378
-2.38729,-2.27519,2.5264,379
-3.48105,1.8219,1.37368,380
0.12961,-3.32697,2.5161,381
-2.88111,-1.647,2.53264,382
2.16782,-3.1315,1.73906,383
-2.74644,1.95808,2.48637,384
2.33306,-3.32343,1.12299,385
-3.83489,0.978764,1.44675,386
-4.13032,-0.822175,0.157266,387
0.603939,-3.33462,2.51599,388
1.52828,-3.935,0.241702,389
-1.20938,-3.96527,0.837832,390
