Clusters: 503
Codebook: x,y,z,label
Occupied Nodes: 434
-4.1038,5.18934,0.854498,0
-3.66984,4.37568,0.748626,1
-2.64126,6.85808,0.947306,2
-1.80683,2.84365,0.749554,3
-2.3399,2.46324,0.876521,4
1.87201,4.06478,1.3432,5
2.12248,3.52855,1.09291,6
-1.94026,7.432,0.907102,7
-1.95631,7.01315,0.866325,8
0.451747,6.62871,0.91285,9
0.382727,6.59941,0.76688,10
2.37538,2.88704,1.22525,11
2.53004,2.34022,1.10046,12
0.748964,5.28957,0.531487,13
1.29539,5.31306,1.316,14
1.31424,5.04438,1.14641,15
1.07762,5.64528,1.13322,16
0.879663,5.70025,0.847652,17
-0.906051,8.14307,1.18473,18
-1.09027,7.73563,0.891479,19
-0.23297,7.26673,1.3851,20
-0.261402,7.20288,1.25824,21
-1.70261,2.04932,0.669802,22
-2.42897,1.57336,0.72333,23
-2.43709,5.31895,0.756931,24
-1.89741,7.69936,0.27188,25
-1.87864,7.12058,0.466831,26
-1.60843,7.83285,1.50222,27
-1.84616,7.50247,1.28688,28
1.13368,5.35553,0.844787,29
1.00826,5.0022,0.757869,30
-1.88086,6.48265,0.631898,31
-2.4002,6.11875,0.7717,32
1.54452,4.709,1.3583,33
1.55668,4.46582,1.05333,34
1.86676,2.46912,0.901949,35
1.71228,2.26673,0.557532,36
-0.476004,7.66818,1.41166,37
-0.687155,7.8689,1.31993,38
1.34029,-1.67095,0.958026,39
0.272112,-2.24294,1.17983,40
-1.0292,-1.72207,1.13019,41
-0.659075,-1.93208,0.318976,42
-0.505528,3.08363,0.948896,43
-0.646428,2.93026,0.822669,44
-2.52321,3.56568,0.540225,45
-3.31883,3.34666,1.15897,46
3.61837,-0.116515,1.09049,47
4.78101,-2.68768,0.414157,48
3.4086,-3.07792,0.272677,49
0.620636,1.58326,0.803659,50
0.533382,1.78118,0.717113,51
2.41768,-0.777247,0.693763,52
0.416406,6.58004,0.576465,53
0.408354,6.59821,0.385828,54
-2.01243,0.403969,1.16558,55
-1.64643,-0.50692,1.40696,56
1.79824,4.08371,0.919349,57
1.7475,4.01582,0.455542,58
1.0453,0.71652,0.727555,59
1.10099,0.381544,0.618694,60
0.0412125,2.45301,0.731238,61
0.114807,2.32947,0.723405,62
2.09943,-1.21389,0.976866,63
2.27535,1.91177,0.653663,64
0.927165,1.23644,1.02481,65
0.799862,1.13549,0.707543,66
3.23082,0.872675,0.862278,67
3.30385,0.198719,0.284832,68
-1.09579,8.04675,1.48666,69
-1.34016,7.71732,1.20826,70
-1.60313,6.0588,0.690758,71
-1.4483,5.68172,0.617973,72
-1.59207,1.29884,0.627911,73
2.49875,2.3527,0.276786,74
-0.360901,6.22866,0.637951,75
-0.397054,6.30183,0.532274,76
-1.88603,4.95002,0.852105,77
-2.44234,4.78278,0.490639,78
-2.66277,1.85071,1.1935,79
-2.3283,1.02583,1.15576,80
-0.104895,5.63804,0.556478,81
-0.0832002,5.59607,0.471411,82
-0.356951,7.3798,1.11367,83
-0.359446,7.37556,0.983491,84
2.4196,0.689712,0.701084,85
1.23454,4.75026,0.912753,86
0.962674,4.37029,0.952802,87
1.3868,3.96108,0.858489,88
1.01247,3.67741,0.921121,89
-0.473925,2.13446,0.758328,90
-0.565698,2.24199,0.72493,91
0.58696,-1.27074,0.701397,92
-0.158471,-1.85418,0.77133,93
-0.283653,6.0378,0.867345,94
-0.37528,6.00089,0.868391,95
0.810058,0.911709,1.03186,96
0.498723,0.75233,0.939313,97
0.585954,5.66279,1.03987,98
0.571205,5.64124,0.704599,99
-0.534915,8.33549,0.666547,100
-0.499119,8.17699,0.557257,101
1.13984,3.73173,0.484552,102
0.795725,3.59325,0.460751,103
-0.898398,-0.900367,0.273636,104
-1.38365,-0.662059,0.289635,105
-0.315507,6.73897,1.10422,106
-0.515657,6.70604,1.09278,107
1.52003,-0.951121,0.655815,108
0.658982,4.80996,0.756806,109
0.255726,4.80722,0.44321,110
-0.286063,5.93396,0.661874,111
-0.232279,5.85454,0.685552,112
1.43653,3.03303,0.771141,113
1.41871,2.49673,0.846653,114
-0.204476,6.75764,0.319874,115
-0.088035,2.85159,0.704011,116
-0.049345,2.73189,0.716518,117
0.465574,4.17647,0.488242,118
0.575449,3.83471,0.469736,119
0.262054,6.08712,0.401422,120
-0.734397,3.06652,0.723612,121
-0.830955,2.87857,0.691905,122
-0.55581,3.67986,0.502801,123
-0.685336,3.59693,0.477946,124
0.955239,5.76006,0.540291,125
-0.653521,2.698,0.429463,126
0.697107,3.92633,1.0126,127
0.712232,3.62727,0.834498,128
-0.692043,8.26417,1.07385,129
-0.77279,8.23482,0.915013,130
-0.450372,2.81107,0.972183,131
-0.632724,2.7431,0.817092,132
-0.756774,7.8592,0.752382,133
-0.693043,7.87297,0.497177,134
-0.81277,3.50572,0.429947,135
-0.943556,3.26739,0.454892,136
0.1043,6.03086,1.25582,137
0.301361,6.0061,0.768752,138
0.220025,6.51647,0.734462,139
0.199992,6.23238,0.611983,140
-1.05448,7.34825,0.708298,141
-0.835785,7.09335,0.437968,142
0.740095,4.52488,0.80585,143
0.512031,4.38077,1.01165,144
0.217693,6.56526,0.284849,145
0.676389,1.39982,0.751738,146
0.561054,1.42483,0.457315,147
-0.213724,2.9619,0.875038,148
-0.302349,2.93086,0.918673,149
-0.232813,5.79063,0.378892,150
-0.361984,5.74522,0.37907,151
0.397662,1.49775,1.06073,152
0.343976,1.30541,1.06881,153
0.82776,5.74799,1.26042,154
0.517538,5.64364,1.41767,155
-1.68974,5.29508,0.619324,156
-0.376096,6.81858,0.796711,157
-0.594412,6.70808,0.754293,158
-0.726534,8.26216,0.686028,159
-0.931197,8.1819,0.673488,160
-1.45013,7.62572,0.825628,161
-1.43129,7.30718,0.6337,162
-0.114496,7.31539,0.564152,163
-0.0731061,7.23863,0.55688,164
-0.0819918,5.57904,0.352665,165
-0.404815,1.84232,0.36347,166
-0.536709,7.72987,0.450779,167
-0.39402,7.62622,0.319895,168
0.0340959,1.36303,0.79134,169
-0.0921039,1.2446,0.767844,170
0.0630643,6.46307,0.691256,171
0.138134,6.3546,0.502007,172
-0.254673,3.22902,0.617257,173
-0.420624,3.19518,0.71019,174
-0.606706,6.75095,0.931935,175
-0.714046,6.50236,1.11588,176
-0.224119,2.80696,0.896339,177
-0.331618,2.71956,0.892779,178
-0.331149,6.1693,0.536361,179
-0.349607,6.09298,0.505408,180
-0.0381018,6.92405,0.441466,181
-0.0124086,6.86203,0.380826,182
-0.947655,0.254984,0.612093,183
-1.61351,0.0080718,0.89862,184
0.222148,6.27961,0.985523,185
0.225558,6.16784,0.789502,186
-0.389867,6.31313,0.838336,187
-0.36473,6.25498,0.843591,188
-0.212039,2.7936,0.474174,189
-0.135873,2.72562,0.406982,190
-0.161802,7.39058,0.5602,191
-0.24934,7.39614,0.593033,192
0.0714447,6.67975,0.964063,193
0.0732022,6.66427,0.950853,194
-1.11603,-1.04801,0.935951,195
-0.870342,-1.4296,0.327575,196
-0.687897,6.86683,0.595504,197
-0.704023,6.80665,0.355276,198
0.679851,4.18988,0.872778,199
0.529461,3.9447,0.772049,200
-0.408733,3.66596,0.521956,201
-0.56059,3.49068,0.537566,202
0.421858,4.32828,0.800842,203
0.0189772,4.21496,0.711125,204
-0.627591,2.40784,0.734024,205
-0.56534,2.49538,0.416753,206
-0.0132564,3.1831,0.382887,207
0.201008,6.51546,0.559794,208
0.18452,6.28239,0.362683,209
-0.197477,1.77037,0.767014,210
-0.359883,1.85423,0.732186,211
-1.6786,4.64466,0.495377,212
0.377417,1.33457,0.83837,213
0.5569,0.995098,0.795057,214
-0.347678,2.44339,0.264506,215
-0.225107,2.35445,0.259607,216
-0.3583,7.19803,0.595891,217
-0.296438,7.07155,0.596226,218
-0.902245,4.94896,0.651928,219
-1.34299,4.96169,0.470415,220
-0.380591,7.60504,1.12865,221
-0.539279,7.70887,1.12019,222
-0.432558,7.34103,0.437775,223
0.361087,1.65688,0.440387,224
0.19803,1.39571,0.422979,225
0.209334,6.48333,0.925074,226
0.147103,6.34652,0.810588,227
0.336979,4.8313,0.719413,228
0.131663,4.76216,0.583032,229
-0.227001,3.17332,0.801973,230
-0.368125,3.16308,0.807574,231
-0.054541,4.66104,0.72796,232
-0.068424,4.68543,0.594397,233
0.0664176,2.36734,0.270568,234
-0.244733,2.38962,0.420368,235
-0.0974877,5.66602,0.719227,236
-0.139879,5.70309,0.624521,237
-0.64127,3.01226,0.530931,238
-0.778146,2.93074,0.440775,239
-0.490904,3.05714,0.604048,240
-0.552898,2.99846,0.465224,241
0.298792,1.57564,0.838242,242
0.134046,1.51635,0.808984,243
-0.144612,5.78429,0.328159,244
-0.20485,5.78487,0.261325,245
-1.05733,7.31401,0.385058,246
0.00269746,4.26957,0.500417,247
-0.064854,4.3913,0.337182,248
0.233039,1.84582,0.845221,249
0.0399806,1.65394,0.81265,250
-0.321217,3.52851,0.531853,251
-0.373868,3.38099,0.558074,252
0.370538,1.98746,0.749406,253
0.373738,1.97719,0.45235,254
0.27192,1.02937,0.822701,255
0.0320433,1.01839,0.724902,256
-0.347706,6.21308,0.760992,257
-0.352674,6.11914,0.781058,258
-0.374736,7.40674,0.681193,259
-0.427685,7.33006,0.604485,260
0.082717,2.98948,0.433983,261
0.085187,3.09187,0.292062,262
