Clusters: 829
Codebook: x,y,z,label
Occupied Nodes: 619
0.910857,-0.189256,0.693099,0
1.23034,-0.236328,0.623183,1
0.946553,-0.0895376,0.413411,2
1.4814,-0.919124,0.518811,3
-0.149366,-0.721151,0.591981,4
0.951362,-0.660186,0.39319,5
0.427472,-0.73694,0.43429,6
0.169942,-0.728421,0.570702,7
0.880042,-0.45819,0.766744,8
1.34078,-0.000583671,0.596846,9
0.498592,-0.810754,0.66292,10
1.44873,-0.867447,0.457087,11
1.27822,-0.139226,0.581748,12
0.966659,-0.663872,0.753978,13
1.57319,0.184934,0.535593,14
0.922486,-0.0633402,0.399542,15
1.49379,0.206347,0.749515,16
2.63823,-0.310279,0.466946,17
2.47509,-0.208878,0.440021,18
0.965253,-0.186936,0.692946,19
0.939133,-0.630569,0.335963,20
2.35518,-0.49128,0.653418,21
3.4004,0.132407,0.581539,22
3.00246,1.01178,0.680022,23
2.18638,1.2049,0.639064,24
3.24183,0.14018,0.366751,25
3.04881,1.00316,0.669088,26
2.39314,1.16,0.462388,27
2.54558,1.43396,0.463529,28
3.29759,1.78202,0.251275,29
3.29878,1.73484,0.284136,30
2.49293,1.15734,0.763693,31
2.17807,1.32275,0.28886,32
2.14147,1.18531,0.714717,33
3.36178,0.111619,0.594406,34
3.44594,1.27657,0.70276,35
2.44673,1.08589,0.487262,36
3.66062,1.28739,0.683696,37
3.08516,0.939432,0.748051,38
3.99351,1.24521,0.700349,39
3.09775,1.09301,0.462981,40
3.24056,1.29532,0.757705,41
3.76989,1.2615,0.682087,42
3.04281,1.27248,0.755978,43
2.48717,1.03809,0.739568,44
4.08899,1.23934,0.700709,45
3.91232,1.25119,0.718309,46
3.8469,1.25694,0.689334,47
3.48965,0.144068,0.630632,48
3.57359,1.34722,0.398622,49
4.33563,1.18949,0.352277,50
4.16699,1.65654,0.316882,51
3.11746,1.0705,0.440791,52
3.03657,0.916911,0.751684,53
4.1103,1.27039,0.722198,54
3.73867,1.28489,0.744691,55
4.41619,1.26263,0.701449,56
4.28211,1.45825,0.352794,57
4.60113,1.43098,0.550926,58
4.68667,0.0467601,0.48859,59
3.59792,0.22177,0.538004,60
4.54044,1.19102,0.387952,61
4.33293,1.23036,0.347778,62
4.2567,1.3426,0.711409,63
4.58845,1.37035,0.712523,64
4.57359,1.42759,0.417642,65
5.15606,0.716724,0.56054,66
5.1539,0.529036,0.739022,67
4.66269,0.16568,0.35572,68
5.11438,0.515842,0.335799,69
4.35925,1.23597,0.355747,70
4.65845,0.156585,0.647666,71
4.31418,1.26885,0.306989,72
5.28339,0.541783,0.570956,73
4.64566,0.276251,0.23085,74
5.51088,1.88863,0.544545,75
4.64343,0.316451,0.502305,76
4.63095,1.44097,0.609979,77
5.21805,0.724465,0.452097,78
4.64612,0.346736,0.741392,79
4.79488,0.455927,0.691094,80
4.59164,0.522909,0.222905,81
4.62015,0.512327,0.642625,82
4.60061,-0.688987,0.581947,83
5.25136,0.555795,0.390527,84
4.57444,0.183391,0.71032,85
4.57639,0.25812,0.369755,86
4.63385,-0.191977,0.579868,87
4.14345,-0.856769,0.375102,88
4.65719,-0.561673,0.574634,89
4.13451,-0.856173,0.674948,90
3.47558,-0.645979,0.753241,91
4.39352,-0.843565,0.617296,92
3.71157,-0.124575,0.43801,93
4.65654,-0.625132,0.276658,94
4.65208,-0.405144,0.273549,95
4.64305,-0.783006,0.702537,96
3.75315,-0.0854827,0.752353,97
4.5722,-0.825657,0.382179,98
4.56805,-0.90142,0.720904,99
4.64695,-0.658774,0.724118,100
4.28453,-0.898113,0.727143,101
4.61426,-0.471787,0.600848,102
4.61623,-0.594455,0.326298,103
4.56966,-0.150207,0.404746,104
4.58839,-0.00983745,0.75591,105
4.33783,-0.914906,0.282247,106
4.5981,0.150487,0.440554,107
4.41719,-0.915486,0.525535,108
4.55669,-0.888756,0.263326,109
4.19221,-0.908925,0.476359,110
4.59569,-0.837782,0.489927,111
5.18227,0.684447,0.31423,112
4.6857,1.43638,0.363812,113
5.65705,2.19285,0.450676,114
4.74831,1.40809,0.673612,115
5.75182,1.89268,0.481108,116
5.70373,0.839124,0.289611,117
5.78454,2.25196,0.45175,118
5.7952,1.90324,0.480757,119
6.74839,1.94951,0.468307,120
5.85566,1.95057,0.480874,121
5.51491,1.31252,0.897957,122
7.3208,1.01837,0.674099,123
7.28509,1.06296,0.663438,124
6.69519,2.04799,0.353506,125
7.05415,1.66249,0.304024,126
7.04707,2.26606,0.619605,127
5.82816,1.72503,0.553814,128
6.76811,1.91789,0.605573,129
7.42653,1.11129,0.478993,130
5.941,1.88202,0.52641,131
7.27215,1.6983,0.641037,132
6.89141,1.74009,0.494925,133
7.70291,1.0645,0.505482,134
7.30802,0.687597,0.419992,135
6.82861,1.71168,0.426424,136
7.5053,1.55003,0.650307,137
7.44656,1.08981,0.48324,138
7.33902,0.903829,0.564652,139
7.69374,0.793342,0.606194,140
7.22795,1.72372,0.613403,141
7.49861,2.03691,0.636342,142
7.29511,0.721362,0.690361,143
7.81094,0.772129,0.717083,144
7.73159,1.09782,0.494555,145
7.33017,0.715496,0.408745,146
8.08991,0.0102483,0.622756,147
8.02928,1.46966,0.697315,148
8.10887,0.0173191,0.576784,149
8.139,0.0165793,0.634867,150
7.47744,1.11705,0.478695,151
7.33189,0.744773,0.699646,152
7.35315,0.958998,0.654032,153
7.40341,0.893359,0.487098,154
7.65695,1.49038,0.720833,155
7.89395,0.902845,0.66105,156
7.39958,1.60501,0.60899,157
7.93448,0.959302,0.628234,158
7.39186,0.828389,0.604171,159
7.59351,0.055659,0.306412,160
7.48472,1.10872,0.519568,161
8.52659,1.06031,0.455771,162
8.53691,1.52839,0.683064,163
8.73285,1.51803,0.693393,164
8.42125,1.02887,0.462689,165
8.3305,0.85027,0.47535,166
7.69648,0.145608,0.682657,167
7.76417,1.19369,0.496698,168
7.85649,0.836302,0.738566,169
8.22331,0.0519008,0.574834,170
7.67865,2.17217,0.545277,171
7.26671,1.88744,0.716516,172
6.82006,1.98215,0.374495,173
7.06138,1.66316,0.370833,174
7.38536,2.34497,0.595375,175
6.95568,1.8787,0.597466,176
5.95543,1.98806,0.505669,177
5.5841,2.79298,0.668489,178
6.67594,2.0314,0.290679,179
6.03214,2.78669,0.623249,180
5.37928,2.83819,0.291001,181
5.79977,2.75985,0.46607,182
5.04345,2.90105,0.533346,183
5.79175,2.76632,0.694962,184
5.60881,2.85344,0.352972,185
5.99356,2.82811,0.526028,186
5.36934,2.86164,0.631809,187
5.91398,1.86573,0.533374,188
5.90956,2.22115,0.457479,189
5.54759,2.86505,0.683617,190
5.6728,2.19273,0.457394,191
5.87164,2.81814,0.62578,192
5.42824,2.86661,0.40631,193
6.74084,2.34538,0.335274,194
