Clusters: 7063
Codebook: x,y,z,label
-0.375,-4.365,-0.015,0
-0.285,-4.335,-0.015,1
-0.075,-4.395,-0.015,2
-0.075,-4.365,-0.015,3
-0.075,-4.335,-0.015,4
-0.375,-4.305,-0.015,5
-0.375,-4.275,-0.015,6
-0.375,-4.245,-0.015,7
-0.345,-4.305,-0.015,8
-0.345,-4.275,-0.015,9
-0.285,-4.305,-0.015,10
-0.285,-4.275,-0.015,11
-0.345,-4.215,-0.015,12
-0.375,-4.185,-0.015,13
-0.405,-4.125,-0.015,14
-0.345,-4.185,-0.015,15
-0.345,-4.155,-0.015,16
-0.315,-4.155,-0.015,17
-0.315,-4.125,-0.015,18
-0.345,-4.095,-0.015,19
-0.315,-4.095,-0.015,20
-0.285,-4.095,-0.015,21
-0.195,-4.305,-0.015,22
-0.165,-4.305,-0.015,23
-0.165,-4.275,-0.015,24
-0.195,-4.245,-0.015,25
-0.195,-4.215,-0.015,26
-0.165,-4.245,-0.015,27
-0.135,-4.245,-0.015,28
-0.165,-4.215,-0.015,29
-0.105,-4.305,-0.015,30
-0.075,-4.305,-0.015,31
-0.105,-4.275,-0.015,32
-0.045,-4.305,-0.015,33
-0.015,-4.305,-0.015,34
-0.105,-4.245,-0.015,35
-0.075,-4.245,-0.015,36
-0.105,-4.215,-0.015,37
-0.075,-4.215,-0.015,38
-0.045,-4.245,-0.015,39
-0.015,-4.245,-0.015,40
-0.045,-4.215,-0.015,41
-0.195,-4.185,-0.045,42
-0.225,-4.185,-0.015,43
-0.195,-4.185,-0.015,44
-0.225,-4.155,-0.015,45
-0.195,-4.155,-0.015,46
-0.165,-4.185,-0.015,47
-0.135,-4.185,-0.015,48
-0.165,-4.155,-0.015,49
-0.135,-4.155,-0.015,50
-0.195,-4.125,-0.045,51
-0.225,-4.125,-0.015,52
-0.195,-4.125,-0.015,53
-0.225,-4.095,-0.015,54
-0.195,-4.095,-0.015,55
-0.165,-4.125,-0.015,56
-0.135,-4.125,-0.015,57
-0.165,-4.095,-0.015,58
-0.105,-4.185,-0.015,59
-0.105,-4.155,-0.015,60
-0.075,-4.155,-0.015,61
-0.045,-4.185,-0.015,62
-0.015,-4.185,-0.015,63
-0.045,-4.155,-0.015,64
-0.015,-4.155,-0.015,65
-0.105,-4.125,-0.015,66
-0.015,-4.125,-0.015,67
-0.045,-4.095,-0.015,68
-0.015,-4.095,-0.015,69
-0.405,-4.005,-0.015,70
-0.375,-4.005,-0.015,71
-0.345,-4.065,-0.015,72
-0.315,-4.065,-0.015,73
-0.345,-4.035,-0.015,74
-0.315,-4.035,-0.015,75
-0.285,-4.035,-0.015,76
-0.315,-4.005,-0.015,77
-0.345,-3.975,-0.015,78
-0.315,-3.975,-0.015,79
-0.285,-4.005,-0.015,80
-0.285,-3.975,-0.015,81
-0.375,-3.915,-0.045,82
-0.375,-3.945,-0.015,83
-0.375,-3.915,-0.015,84
-0.405,-3.885,-0.045,85
-0.405,-3.885,-0.015,86
-0.375,-3.885,-0.015,87
-0.375,-3.855,-0.015,88
-0.345,-3.945,-0.015,89
-0.315,-3.945,-0.015,90
