Clusters: 392
Codebook: x,y,z,label
Occupied Nodes:220
10.4076,-4.91918,0.78115,0
9.90158,-4.52102,0.372673,1
6.04677,-3.50543,0.712734,2
6.48572,-3.9169,0.424842,3
7.60874,-5.35097,0.483871,4
8.33777,-0.972764,1.48534,5
10.5731,-9.91589,0.770563,6
10.8362,-2.01015,0.757308,7
3.31315,-6.26634,0.549574,8
8.51474,-8.17259,0.524707,9
1.03779,-5.28574,0.75925,10
4.46912,-3.42453,0.538822,11
1.93801,-2.71476,0.462272,12
9.37609,-4.3728,0.418408,13
1.96075,-2.4387,0.439467,14
1.11647,-4.8374,0.484124,15
4.3905,-0.101804,0.631704,16
7.37194,-6.55838,0.470827,17
3.37922,-5.82221,0.497137,18
9.17379,-7.31421,0.358097,19
11.0466,-7.69175,0.59523,20
9.63939,-4.66351,0.955125,21
7.4104,-6.3243,0.482409,22
9.92681,-7.31451,0.374119,23
9.65928,-8.35974,0.535722,24
6.78193,-3.65067,0.690047,25
0.055798,-6.18971,0.464899,26
9.34262,-1.11092,0.342588,27
3.52633,-4.85943,0.461274,28
7.69992,-4.63199,0.450878,29
1.48101,-6.9024,0.433264,30
1.00863,-5.58778,0.444605,31
4.43746,-0.948677,0.652134,32
9.65628,-7.54513,0.517159,33
11.2985,-6.5512,0.311559,34
6.94084,-3.98395,0.502447,35
1.15737,-2.19641,0.630736,36
11.7487,-4.09022,0.28185,37
1.38923,-5.00885,0.331973,38
9.60356,-1.15118,0.798792,39
3.72577,-3.46963,0.348836,40
11.3919,-5.22557,0.584917,41
7.51954,-6.93056,0.681419,42
8.77868,-4.26895,0.512071,43
11.757,-3.50528,0.29969,44
4.72489,-3.44676,0.548254,45
3.66798,-3.92199,0.361262,46
3.60743,-4.50745,0.531617,47
9.9184,-8.46629,0.583449,48
3.24501,-6.61102,0.472343,49
9.4445,-4.88388,0.740478,50
-0.16391,-6.59643,0.357985,51
8.68258,-5.01649,0.565077,52
1.82657,-2.43776,0.737872,53
1.73027,-2.94575,0.598305,54
1.03949,-5.85491,0.395276,55
8.6972,-4.96274,0.889295,56
7.4804,-3.50947,0.584317,57
9.45698,-7.42807,0.452492,58
7.33164,-6.86629,0.601914,59
10.0038,-5.03364,0.438644,60
6.31003,-3.52236,0.712045,61
9.4655,-4.87876,0.395852,62
0.860313,-0.949067,2.02223,63
0.245618,-1.87052,0.472942,64
8.0042,-0.785551,0.477483,65
0.133897,-6.65551,0.446581,66
7.69941,-6.97313,0.663985,67
8.73835,-4.72624,0.791667,68
0.923215,-5.74399,0.747188,69
1.56267,-2.97386,0.317441,70
5.40837,-3.33932,0.682073,71
3.04184,-7.13052,0.448581,72
7.91022,-7.8781,0.598799,73
2.09198,-6.97678,0.429126,74
7.89831,-1.13484,0.315719,75
7.51542,-5.75512,0.489567,76
3.28659,-6.37995,0.310842,77
3.44152,-5.4157,0.52844,78
0.196791,-2.58737,0.715353,79
11.2109,-7.00637,0.270185,80
8.80276,-4.52585,0.443514,81
3.65266,-4.17591,0.480911,82
10.588,-1.72205,1.12719,83
10.7772,-1.99877,1.51262,84
9.95755,-8.02602,0.548882,85
7.50961,-7.12452,0.756218,86
10.436,-1.46991,0.667076,87
7.98578,-0.788307,0.857692,88
0.394872,-4.73979,0.42148,89
0.954369,-0.830254,1.08088,90
6.30629,-3.35317,0.520847,91
11.3883,-6.08596,0.355838,92
8.33636,-7.79546,0.568335,93
7.80215,-4.15216,0.528595,94
9.86718,-1.22629,1.3551,95
2.06179,-0.999566,0.281213,96
1.21863,-5.64753,0.723716,97
7.34109,-7.09328,0.774474,98
3.40205,0.113608,1.71824,99
8.65223,-5.17392,0.392384,100
10.4937,-5.12007,0.451445,101
0.703041,-2.81255,0.370411,102
5.57897,-3.13281,0.48743,103
7.14597,-3.58549,0.595469,104
9.98803,-1.1659,0.404355,105
10.6271,-1.70505,0.279249,106
7.61163,-3.19608,0.508102,107
8.19869,-8.08973,0.327369,108
4.72911,-3.47298,0.324853,109
3.56598,-4.57254,0.340236,110
4.07956,-3.33619,0.38703,111
5.15209,-3.37182,0.382692,112
9.0295,-4.4277,0.821862,113
11.594,-3.13128,1.30108,114
11.5105,-2.98331,0.433989,115
7.87609,-4.24959,1.18156,116
5.68834,-0.337067,0.660303,117
8.80815,-4.62638,1.37398,118
9.31735,-4.37893,0.724852,119
6.73747,-3.95014,0.317427,120
10.3407,-4.64161,0.565632,121
0.605792,-1.09706,0.569592,122
3.75259,-3.73388,0.482516,123
2.51651,0.0757718,1.74208,124
10.9232,-5.25503,0.272173,125
7.32345,-3.97928,0.622243,126
