Clusters: 151
Codebook: x,y,z,label
-0.30031,-9.36542,0.00467397,0
11.7334,-0.805056,0.0606652,1
1.43007,-1.9159,0.143251,2
15.3482,-2.88953,0.0139131,3
14.9437,-5.29351,0.0128784,4
0,0,0,5
2.74004,-1.5447,0.0411494,6
7.79535,-7.74152,0.117715,7
4.99138,-8.39105,0.00804919,8
8.73256,-1.729,0.0264708,9
0,0,0,10
10.9659,-12.8659,0.0841366,11
0,0,0,12
0,0,0,13
0,0,0,14
14.413,-5.02851,-0.00365127,15
9.98205,-11.9647,0.0330815,16
0,0,0,17
4.72348,-4.38899,0.0484929,18
0,0,0,19
14.2324,-7.32972,0.00591086,20
9.9932,-5.33252,0.0859926,21
-1.03804,-2.31774,-0.00877171,22
9.26924,-6.60856,0.0888231,23
1.91118,-10.5862,0.00173904,24
14.0295,-4.53542,-0.0230203,25
1.20304,-3.87515,0.0266287,26
4.67293,-9.4798,0.0202274,27
2.68282,-10.4151,-0.00189521,28
0,0,0,29
-0.48105,-3.5972,0.141022,30
5.91339,-6.64844,-0.0308861,31
-2.48694,-3.46301,0.0946207,32
4.01296,-9.20652,0.0550914,33
5.14987,-10.0017,0.021931,34
2.73386,-4.33124,0.036058,35
0,0,0,36
0,0,0,37
0,0,0,38
10.2631,-6.31927,0.0159521,39
0,0,0,40
0,0,0,41
0,0,0,42
15.155,-6.65014,0.0355058,43
7.10816,-2.72121,0.0732712,44
3.06446,-5.75216,0.0945433,45
4.43254,-2.39909,0.0391186,46
6.19004,-1.51221,0.0389166,47
0,0,0,48
0.37192,-9.98112,-0.00137912,49
3.05854,-3.383,0.0766006,50
0,0,0,51
5.91032,-8.62548,-0.0229478,52
8.36488,-5.93237,0.0360749,53
0,0,0,54
2.27215,-9.98307,-0.00427616,55
4.78469,-5.35779,-0.0472653,56
13.8698,-9.03942,0.0410233,57
0,0,0,58
5.05845,-7.59459,3.56942e-05,59
1.24621,-10.1621,-0.0050085,60
5.52771,-4.52529,-0.0725009,61
13.7614,-6.48681,-0.0248058,62
5.29259,-9.52315,0.0119681,63
9.04229,-11.552,0.00613678,64
0,0,0,65
0,0,0,66
8.12672,-6.96472,0.0508151,67
4.08544,-8.3244,0.0245056,68
0,0,0,69
0,0,0,70
-0.843155,0.504991,0.0247715,71
8.54748,-12.0457,0.0216441,72
0,0,0,73
15.0599,-8.18754,0.029582,74
8.07383,-2.47474,0.0185772,75
8.23267,-10.9067,0.00690073,76
1.11275,-9.60418,-0.0075267,77
5.35686,-7.12003,-0.00600711,78
5.53782,-7.83214,0.00185499,79
10.6965,-3.38978,0.0899722,80
