Clusters: 444
Codebook: x,y,z,label
Occupied Nodes: 276
6.28372,-3.28636,0.504498,0
0.649019,-1.08026,1.40264,1
0.359374,-2.48065,0.803248,2
6.85969,-3.03129,0.341738,3
5.25385,-2.91474,0.278842,4
1.2145,-5.5124,0.736608,5
10.9391,-2.04912,0.633748,6
9.17078,-7.87293,0.474036,7
4.47806,-0.690123,0.63044,8
-0.227866,-4.35318,0.30063,9
4.4192,-1.09874,0.467712,10
8.84868,-1.02581,1.50291,11
10.3064,-5.06004,0.399824,12
7.61582,-6.94617,0.703741,13
7.71731,-4.50557,0.373086,14
6.4906,-2.91675,0.305597,15
7.75276,-7.79151,0.642125,16
0.616237,-1.08028,0.79654,17
10.2869,-7.4551,0.387979,18
6.38848,-3.51954,0.679603,19
6.57946,-3.48296,0.485652,20
10.9824,-5.22236,0.500603,21
3.35702,-5.95821,0.491195,22
10.1237,-8.00244,0.561157,23
1.37987,-6.8836,0.467311,24
1.70791,-2.94436,0.528849,25
8.07216,-0.952351,1.33835,26
11.8173,-3.55485,0.327112,27
3.25008,-6.60391,0.525961,28
0.776556,-6.78045,0.478547,29
3.62999,-4.31983,0.450192,30
-2.49899,-2.41942,0.261778,31
7.39958,-3.0997,0.326269,32
10.9135,-8.82078,0.805604,33
9.51029,-4.40671,0.624617,34
4.37354,-1.49322,0.435702,35
7.47552,-3.49532,0.587697,36
8.88375,-8.16503,0.428215,37
10.5677,-1.63905,0.687834,38
7.60422,-4.04633,0.565503,39
3.93257,0.240034,2.64473,40
7.8774,-4.24487,0.906517,41
1.2304,-5.79629,0.590149,42
11.5874,-3.14231,1.5462,43
1.2127,-0.673827,1.57886,44
4.77957,-0.168827,1.55282,45
10.5702,-1.68933,1.07383,46
8.85932,-1.00219,0.481714,47
1.01234,-5.61381,0.442443,48
8.45414,-8.03911,0.339111,49
9.95419,-7.30758,0.36292,50
8.83655,-4.4782,1.03067,51
4.3982,-0.131505,0.385782,52
8.55099,-0.977088,1.31519,53
10.3807,-1.35193,0.518215,54
4.88386,-3.48676,0.567797,55
10.1391,-1.36491,1.65875,56
0.178677,-4.61312,0.454936,57
5.72377,-2.79276,0.354624,58
6.82622,-0.775461,0.761887,59
3.27116,-6.47751,0.319967,60
4.37769,-1.39565,0.760068,61
10.4877,-1.57192,1.40791,62
3.66596,-4.01628,0.406303,63
1.06213,-6.82926,0.470887,64
6.93225,-3.48024,0.468061,65
7.3904,-7.12482,0.772773,66
7.19128,-3.31844,0.46247,67
8.61824,-8.19539,0.526923,68
7.7581,-3.25948,0.452197,69
7.22788,-4.02874,0.447616,70
10.8076,-1.93051,0.390629,71
2.46714,-7.05017,0.509199,72
-0.270894,-3.73672,0.455226,73
9.11696,-1.11046,1.46232,74
2.08434,-0.892033,1.17341,75
5.82313,-3.35755,0.671305,76
2.07055,-6.97211,0.288313,77
3.82505,-3.41546,0.498817,78
10.9836,-8.11285,0.68559,79
1.75153,-6.94622,0.473086,80
7.3135,-6.8676,0.373811,81
9.51573,-7.29349,0.42775,82
0.403687,-4.71496,0.342586,83
1.23598,-2.88831,0.535744,84
8.66761,-5.11671,0.706924,85
5.49289,-3.19084,0.510786,86
9.08772,-8.28408,0.522467,87
9.62636,-1.1907,0.335601,88
1.88596,-2.4926,0.637428,89
8.897,-1.03885,1.11325,90
8.49297,-0.991625,1.6694,91
11.252,-4.85617,0.602566,92
6.25195,-3.01062,0.423818,93
11.2235,-6.96439,0.445541,94
6.07277,-0.606463,0.564516,95
7.44727,-6.15006,0.487973,96
5.51804,-2.95304,0.520758,97
8.731,-4.76569,0.663141,98
9.9438,-1.21483,1.37433,99
3.74259,-3.74224,0.478387,100
10.8029,-2.00793,0.960134,101
4.11196,-3.34503,0.435803,102
11.1174,-7.37477,0.461764,103
11.3002,-6.53666,0.287617,104
7.14908,-3.92878,0.698555,105
