Clusters: 3744
Codebook: x,y,z,label
Occupied Nodes: 2092
-0.498979,-0.439881,0.122465,0
-0.826984,-0.509144,0.285362,1
-0.675151,-0.490718,0.594631,2
-0.948672,-0.438685,0.113267,3
-0.983097,0.367653,0.126549,4
-1.03325,0.354813,0.164633,5
-0.992076,-0.475166,0.120503,6
-0.886518,-0.523707,0.491194,7
-0.962657,-0.548186,0.326439,8
-1.03763,0.279354,0.431538,9
-0.838906,-0.749378,0.290438,10
-0.993628,0.233492,0.566858,11
-1.02895,-0.536265,0.153709,12
-1.02656,0.419251,0.384269,13
-1.04621,0.337626,0.471262,14
-0.952908,-0.469889,0.571138,15
-0.812481,-0.723893,0.542475,16
-0.88956,-0.489179,0.675166,17
-1.05652,-0.555556,0.256122,18
-1.07171,0.453179,0.373053,19
-0.999119,-0.50407,0.500484,20
-1.00349,-0.611746,0.399976,21
-1.06249,0.430952,0.518611,22
-1.05148,-0.560687,0.414859,23
-0.931181,-0.534495,0.695759,24
-0.965621,-0.506153,0.677728,25
-0.854668,-0.894594,0.347698,26
-0.884281,-0.801453,0.488042,27
-0.870733,-0.479964,0.850947,28
-1.03157,-0.562528,0.598216,29
-1.08713,-0.556951,0.497194,30
-1.09309,-0.576538,0.501842,31
-1.18701,-0.548668,0.281419,32
-0.811814,-0.79775,0.703075,33
-1.17327,0.42153,0.487653,34
-0.850679,-0.515177,0.906959,35
-1.04678,0.849478,0.162908,36
1.32801,0.246038,0.148677,37
-0.985496,0.350863,0.879314,38
-1.09175,0.266717,0.784812,39
-1.11414,0.634813,0.493951,40
-1.14553,-0.575813,0.521632,41
-0.963009,-0.500356,0.859227,42
-1.1005,0.421512,0.739185,43
-0.926564,-0.541681,0.888234,44
-1.04712,0.350301,0.853177,45
-1.2802,-0.538677,0.137133,46
-0.811433,-0.748669,0.859078,47
-1.12554,0.806893,0.205287,48
-1.06092,0.364949,0.840749,49
-1.06962,0.42787,0.799334,50
-1.01355,-0.555319,0.829647,51
-1.09734,-0.49106,0.765312,52
-1.03464,-0.609323,0.767664,53
-1.11834,0.452706,0.789704,54
-1.11802,-0.571684,0.710176,55
1.42565,0.173944,0.186266,56
-1.05756,0.303339,0.94393,57
-1.27053,-0.599863,0.358631,58
-1.03152,-0.573456,0.856772,59
-1.12585,0.848757,0.378046,60
-1.07918,-0.600472,0.783357,61
-1.00962,-0.552398,0.906706,62
-0.887179,-0.800434,0.879456,63
-1.03766,-0.610749,0.883532,64
-1.08179,0.269056,1.0056,65
-0.908726,-0.476505,1.10816,66
-1.20878,-0.597646,0.69249,67
-0.860031,-0.930264,0.836043,68
1.51665,0.0258233,0.240851,69
1.48057,-0.390736,0.132905,70
-1.41172,-0.590196,0.152203,71
-1.08836,-0.580015,0.92526,72
-1.11195,0.706379,0.802667,73
-1.21765,-0.550243,0.771711,74
-1.15162,0.938102,0.421546,75
-1.19446,-0.553062,0.807393,76
-1.40269,-0.555114,0.397265,77
-1.24813,0.449808,0.828881,78
-1.18454,-0.586567,0.839423,79
-1.51672,0.382381,0.111101,80
-1.32929,-0.578751,0.652115,81
-0.81912,-0.745369,1.14358,82
-1.04774,0.347894,1.15364,83
-1.33397,-0.613762,0.630055,84
-0.943869,-0.502987,1.18886,85
1.34582,0.834435,0.271155,86
-1.49681,0.367481,0.458591,87
-1.06279,0.237633,1.18832,88
-1.38009,-0.596775,0.581297,89
1.53615,-0.461251,0.174576,90
1.52123,-0.0661637,0.537289,91
-1.18401,-0.506668,0.97957,92
-1.41341,-0.629354,0.481164,93
-1.51844,0.368069,0.433563,94
-1.53371,0.441716,0.330385,95
1.55333,-0.430169,0.263251,96
-1.26992,-0.607175,0.834503,97
-1.48448,-0.681694,0.149716,98
-1.27385,0.514636,0.89836,99
-1.25199,0.800741,0.712713,100
-1.50825,0.536456,0.392997,101
-1.20724,-0.59201,0.953651,102
-1.31848,-0.612087,0.777809,103
-1.19558,-0.54434,0.997703,104
1.46829,-0.0565883,0.771554,105
1.5819,0.493059,0.153823,106
-1.53211,-0.661188,0.111056,107
1.49759,0.0564358,0.746328,108
1.4023,0.566858,0.729417,109
-1.56761,-0.591333,0.133519,110
-1.42098,-0.556576,0.705015,111
1.20407,1.16195,0.168639,112
-1.46774,-0.688281,0.461702,113
1.51524,-0.0362036,0.738373,114
-1.5108,-0.701844,0.337737,115
1.6068,-0.140949,0.539641,116
-1.19604,0.527168,1.0895,117
-1.17198,0.965645,0.787154,118
-1.53178,-0.652028,0.397416,119
1.68695,-0.111221,0.287524,120
1.40544,0.582467,0.797283,121
1.56873,-0.152863,0.682714,122
-1.53816,-0.689203,0.336952,123
-1.14113,1.2783,0.144069,124
-1.50741,-0.7222,0.41435,125
-1.38707,0.51438,0.887198,126
-1.57562,0.539016,0.457137,127
1.63564,0.441097,0.363122,128
-1.54514,-0.690451,0.373561,129
1.49714,0.577819,0.66584,130
1.52044,0.134696,0.84732,131
-1.3165,-0.577878,0.992097,132
-1.18703,1.0279,0.780981,133
-1.5085,-0.654222,0.612977,134
-1.52302,-0.611875,0.621663,135
1.5474,-0.818581,0.157466,136
-1.58461,0.287658,0.704428,137
-1.1248,1.35076,0.119721,138
-1.32146,0.81181,0.836292,139
-1.37217,-0.623903,0.927461,140
1.38606,0.805703,0.755103,141
1.667,0.0863209,0.603842,142
-0.68426,-1.63429,0.177703,143
1.50355,0.573104,0.766467,144
1.59617,0.178282,0.785039,145
-1.48739,-0.64768,0.758516,146
-1.68251,0.477478,0.388884,147
-1.45577,-0.597416,0.863704,148
-1.23012,-0.514614,1.20292,149
-1.56439,-0.704862,0.544803,150
-1.55745,-0.731537,0.532015,151
-1.33615,0.819931,0.891267,152
-0.70274,-1.58864,0.505361,153
1.65016,0.126533,0.735291,154
-1.05188,0.337587,1.44087,155
-1.00212,-0.572103,1.40909,156
-1.35199,-0.575034,1.07768,157
1.57146,-0.405061,0.841882,158
-1.52813,-0.773065,0.645592,159
1.73241,-0.462767,0.370541,160
-1.58205,-0.78259,0.487469,161
-1.68977,0.638506,0.33539,162
-1.50742,-0.66327,0.818203,163
-1.47271,-0.680703,0.868992,164
1.5214,0.367607,0.972361,165
-1.57297,-0.734994,0.619239,166
1.57207,0.953863,0.265878,167
-1.72742,0.584437,0.375212,168
-1.2356,-0.562077,1.28797,169
-1.50731,-0.651648,0.897322,170
-0.991481,1.56698,0.306249,171
-1.32672,0.526104,1.22482,172
1.56385,0.117804,1.04133,173
1.69512,-0.713746,0.409687,174
1.51116,0.764452,0.833108,175
-1.40159,0.924862,0.869287,176
-1.02978,1.58291,0.129163,177
1.70821,-0.292664,0.766357,178
-1.59895,-0.725369,0.718185,179
-1.68915,0.456667,0.738299,180
-1.61776,-0.73378,0.675098,181
-1.53073,-0.687177,0.89258,182
1.56023,0.966752,0.495904,183
-1.73862,-0.75944,0.154899,184
1.59868,0.35422,0.972793,185
-1.69003,-0.745909,0.467371,186
-1.54892,-0.682057,0.877761,187
-0.82024,-1.70287,0.250205,188
-1.35409,0.973916,0.931217,189
1.62778,0.530863,0.853782,190
-1.54522,-0.77628,0.818767,191
-1.81194,0.547458,0.312921,192
-1.57793,-0.678872,0.861877,193
-1.75187,0.347917,0.715171,194
-1.34089,0.900169,1.0525,195
-1.23275,1.40394,0.478822,196
1.62583,-0.722453,0.753428,197
1.61405,-0.592107,0.888913,198
1.4644,0.316425,1.22726,199
-1.76866,-0.785126,0.105143,200
-1.82686,0.61586,0.245379,201
-1.0172,0.53036,1.56912,202
1.60181,0.562668,0.947025,203
1.55638,1.06108,0.487736,204
-1.50505,-0.568999,1.09465,205
1.64865,-0.403552,0.95297,206
-0.710566,-1.58151,0.892395,207
-1.52957,-0.740973,0.956367,208
-1.67741,0.611256,0.790889,209
-1.83649,0.600395,0.287795,210
-1.69061,-0.806578,0.560573,211
-1.67892,-0.800303,0.605344,212
-1.7654,0.433149,0.727558,213
-1.72145,0.56733,0.748265,214
-1.57439,-0.716095,0.930486,215
1.75734,-0.690035,0.54156,216
1.38916,0.664694,1.22398,217
-1.75891,-0.77468,0.443775,218
-1.65158,-0.79486,0.729915,219
-1.72813,-0.808278,0.50646,220
-1.69612,0.653276,0.772638,221
1.57394,-0.135347,1.19255,222
-0.918,-1.69235,0.466963,223
-1.53825,-0.693335,1.04105,224
-1.18511,1.57972,0.190778,225
1.65932,0.141721,1.0859,226
-1.7008,-0.807832,0.674312,227
1.715,-0.374745,0.966691,228
-0.868844,-1.67596,0.687194,229
-0.902217,-1.70586,0.562375,230
1.52649,-0.0926634,1.30542,231
-1.21441,1.41807,0.762908,232
-1.73016,-0.765107,0.707535,233
-1.58966,-0.619652,1.08513,234
1.38795,1.21887,0.822976,235
1.67298,-0.999369,0.576328,236
-1.6617,-0.771661,0.894888,237
1.62389,-0.945881,0.792186,238
-1.77506,-0.822526,0.576224,239
-1.63228,-0.790818,0.936368,240
-1.37626,-0.635632,1.38379,241
-0.863579,-1.72995,0.69562,242
-1.80051,0.645128,0.76072,243
-1.97312,0.585416,0.11665,244
1.7456,-0.636562,0.896478,245
1.56431,1.05853,0.838544,246
-0.772506,-1.71633,0.855686,247
-1.9341,0.706658,0.187255,248
1.49559,1.403,0.266823,249
1.68304,-0.164604,1.19131,250
-1.73711,-0.814594,0.778269,251
-1.79926,-0.820315,0.620158,252
-1.81158,0.649703,0.769163,253
-1.23467,1.50071,0.720495,254
-1.78194,-0.823893,0.687788,255
1.55218,1.09754,0.846495,256
-1.7681,-0.814152,0.760597,257
-1.22718,1.50691,0.770996,258
1.70672,-0.825837,0.88441,259
-1.7289,-0.807189,0.860309,260
-1.86655,-0.824744,0.481127,261
-1.56872,-0.675572,1.21756,262
-1.55548,1.12576,0.847428,263
-1.20922,1.71243,0.153089,264
-1.42094,1.23572,0.95408,265
-1.86382,-0.840777,0.530965,266
-1.743,-0.815265,0.873984,267
-1.75153,0.922282,0.745621,268
1.74198,-1.134,0.397629,269
-1.95444,-0.814642,0.11408,270
-1.90037,-0.822076,0.473337,271
1.6352,0.153166,1.34825,272
-1.80122,0.877648,0.711472,273
1.2866,1.51543,0.754875,274
-1.53172,1.15495,0.931446,275
-0.723247,-1.56746,1.25887,276
-1.91443,-0.827999,0.46278,277
-1.86486,-0.840394,0.625973,278
-1.74044,-0.808165,0.95594,279
-1.6097,1.36459,0.380859,280
-1.78781,-0.813908,0.880881,281
-1.45518,1.29274,0.92938,282
1.59693,-0.0834193,1.44801,283
1.6156,0.634911,1.28463,284
1.61198,-0.592047,1.31587,285
-1.68326,1.10947,0.788886,286
-2.01972,-0.774209,0.134203,287
-1.8674,-0.8404,0.727523,288
1.51057,1.23006,0.970826,289
1.72948,-0.56111,1.20224,290
-1.85217,-0.836796,0.801632,291
-0.815922,-1.83781,0.858947,292
-1.82522,-0.831297,0.878241,293
-1.86417,-0.805337,0.821693,294
-1.69271,1.13052,0.812786,295
1.50855,0.50818,1.50759,296
1.15678,1.85817,0.179532,297
1.54854,0.0851848,1.55739,298
-1.74791,-0.775725,1.08774,299
-1.13945,1.03444,1.57603,300
-1.46845,1.26261,1.06536,301
1.7068,-1.40031,0.185799,302
-1.97873,-0.863091,0.508992,303
-1.0412,1.71715,0.945819,304
1.47248,0.212567,1.65406,305
1.487,1.50659,0.686346,306
-1.94545,-0.85561,0.663087,307
1.70838,-1.28837,0.614918,308
1.68691,-0.646915,1.31199,309
1.58128,0.646792,1.44484,310
-1.99285,-0.865959,0.54628,311
-1.99686,-0.86576,0.589557,312
1.54569,1.1361,1.18533,313
1.61574,-0.593092,1.45766,314
-2.0774,-0.848119,0.253281,315
-2.08818,0.711205,0.491468,316
1.43637,0.988499,1.44056,317
-1.99643,-0.78539,0.733883,318
-1.31739,1.6127,0.900505,319
-1.7808,1.18179,0.768358,320
1.708,-1.46459,0.311121,321
1.04612,2.0186,0.137063,322
-1.67933,-0.773049,1.33931,323
1.77438,-1.30157,0.618866,324
1.56799,-0.312832,1.64076,325
-1.99191,-0.863627,0.736795,326
-2.10159,-0.859474,0.335756,327
-1.93738,-0.851392,0.89324,328
-2.10236,-0.839122,0.400437,329
-1.97221,-0.858751,0.825964,330
-2.02196,-0.846959,0.710362,331
1.40756,1.79222,0.351864,332
1.7545,-1.43978,0.414624,333
1.261,1.7734,0.773175,334
-2.01833,-0.849743,0.74114,335
-2.1193,-0.838862,0.482357,336
-2.00266,-0.843236,0.848013,337
1.42867,0.551617,1.75959,338
-2.09563,-0.887213,0.519074,339
-1.94035,-0.837843,0.995757,340
1.47609,1.6857,0.6727,341
-2.10342,-0.801584,0.658439,342
1.7408,-1.35876,0.790584,343
1.49315,0.174714,1.80121,344
-2.07768,-0.882357,0.652376,345
1.76667,-1.25433,0.925196,346
-1.21531,1.71622,1.0659,347
-0.925163,-2.15485,0.336253,348
-2.16594,-0.815995,0.51812,349
1.37501,0.749483,1.78729,350
-1.77532,1.39085,0.762524,351
-2.06971,-0.877708,0.799813,352
1.75353,-1.07311,1.21296,353
-0.77736,-2.12899,0.755009,354
-2.23578,0.712292,0.474077,355
-2.03242,-0.867599,0.937383,356
-2.20841,-0.855327,0.400049,357
1.6996,-1.14711,1.25825,358
1.68602,-1.1232,1.29813,359
-1.90568,-0.741002,1.28372,360
-2.18703,-0.905949,0.49707,361
1.63093,-0.369254,1.75191,362
-2.12489,-0.84099,0.816545,363
1.75232,-1.17537,1.20032,364
-1.17897,2.12189,0.133375,365
-2.26632,0.731369,0.50183,366
1.75953,-1.67749,0.168309,367
-2.18386,-0.903853,0.613064,368
-2.08419,-0.860063,0.941726,369
-2.1539,-0.895728,0.729484,370
1.48534,1.54095,1.18063,371
1.79068,-1.65839,0.205968,372
-2.14267,-0.80717,0.871888,373
