Clusters: 3904
Codebook: x,y,z,label
Occupied Nodes: 2459
-0.155086,0.0970621,0.349111,0
-0.166324,0.406898,0.385719,1
-0.163184,0.440134,0.3683,2
-0.397505,0.318781,0.411416,3
-0.504304,0.0573388,0.478046,4
-0.384811,0.165743,0.661264,5
0.178828,0.689864,0.358304,6
-0.419966,0.065606,0.6878,7
-0.429739,-0.0426949,0.68684,8
-0.458329,0.490288,0.46537,9
-0.421605,0.179783,0.676458,10
-0.406022,0.20789,0.67811,11
-0.451179,-0.199822,0.703611,12
-0.454671,-0.146605,0.718107,13
-0.500121,0.66632,0.237776,14
-0.484054,-0.11632,0.727235,15
-0.488518,0.143225,0.722068,16
-0.357258,0.319225,0.746873,17
-0.438579,-0.30702,0.712418,18
-0.45065,0.365133,0.677452,19
-0.493119,-0.150294,0.728064,20
-0.481247,-0.279877,0.704019,21
-0.380178,0.355558,0.739639,22
-0.356907,0.390519,0.737021,23
-0.385355,0.571327,0.619154,24
-0.48399,-0.384861,0.707498,25
-0.236752,0.817197,0.403213,26
-0.46356,-0.416458,0.709892,27
-0.393414,0.327462,0.804976,28
-0.36324,0.42361,0.775442,29
-0.589304,-0.00504054,0.772416,30
-0.522939,-0.372393,0.737187,31
0.213883,0.899389,0.367035,32
-0.613825,0.0311419,0.790947,33
-0.501748,-0.5342,0.684655,34
0.196477,0.923927,0.371329,35
-0.97883,-0.142925,0.256577,36
0.198127,0.78993,0.624168,37
0.145269,0.707227,0.738568,38
-0.413773,0.546375,0.773216,39
-0.53618,-0.521261,0.731169,40
-0.472255,0.90515,0.281837,41
-0.371144,0.679739,0.727225,42
-0.474724,0.64275,0.704752,43
-1.0204,-0.072826,0.303094,44
-0.46845,-0.673357,0.713607,45
-0.112696,0.741084,0.788921,46
-0.486719,0.614817,0.786041,47
-0.827036,-0.672268,0.396667,48
0.190076,0.916821,0.654753,49
-0.724873,0.250181,0.865416,50
1.03455,-0.305361,0.416559,51
-0.838382,-0.27003,0.750034,52
1.03505,-0.438851,0.291083,53
-0.547035,0.676454,0.772765,54
-0.80692,-0.76696,0.367647,55
0.153039,0.911202,0.72905,56
-0.681475,0.503838,0.834865,57
1.14839,0.11618,0.306978,58
0.913331,-0.714806,0.287469,59
1.01037,-0.540943,0.349341,60
1.15763,-0.148397,0.314966,61
-0.879418,-0.737645,0.388664,62
1.17467,0.169404,0.249618,63
-1.10856,-0.220943,0.441638,64
0.951902,0.328206,0.686249,65
-0.329435,0.85732,0.802667,66
1.14836,-0.242261,0.360229,67
0.986985,0.657904,0.3262,68
-0.185137,0.94991,0.761126,69
1.00824,0.19029,0.683048,70
-0.156305,0.998537,0.722792,71
0.935134,-0.626201,0.527538,72
0.931314,-0.426997,0.71515,73
1.02804,-0.0151994,0.71151,74
-0.474806,-0.896782,0.731459,75
1.00117,-0.712522,0.241132,76
-1.20716,-0.215737,0.284968,77
1.0236,0.0465573,0.732639,78
1.04865,-0.608608,0.34632,79
-0.429458,0.832601,0.845589,80
-0.690464,-0.746337,0.762789,81
1.00369,0.344196,0.706662,82
0.19377,1.04953,0.699283,83
1.01365,-0.299293,0.724256,84
-0.512453,-0.910361,0.745106,85
-0.874196,-0.85569,0.39103,86
1.2363,0.0369842,0.348602,87
1.02567,0.163306,0.757458,88
1.02602,-0.320979,0.709391,89
1.05371,-0.179062,0.723925,90
1.25215,0.0243857,0.323344,91
1.17958,-0.393695,0.366022,92
1.23447,-0.0796215,0.390569,93
-0.531457,-0.975252,0.670903,94
1.21589,-0.339371,0.354121,95
1.17951,-0.44909,0.36827,96
-0.801381,0.592615,0.857477,97
1.23406,0.407225,0.22532,98
-0.371306,0.918517,0.871191,99
1.03449,0.296694,0.776573,100
1.01827,0.40345,0.753647,101
-1.02794,-0.145513,0.831812,102
1.09639,-0.601284,0.455446,103
1.25985,-0.198419,0.383787,104
0.983442,-0.513324,0.74128,105
-0.908505,-0.514998,0.840037,106
-0.939799,0.114949,0.949714,107
0.243,1.23111,0.482084,108
-0.602845,0.883613,0.814345,109
-1.26667,-0.392034,0.257021,110
1.04347,0.394076,0.76429,111
-0.728758,-1.06479,0.407029,112
0.917122,-0.714972,0.695874,113
-0.49825,0.978664,0.799798,114
1.18684,-0.535497,0.388395,115
0.998392,0.745737,0.548119,116
-1.25468,-0.453247,0.284658,117
0.114756,1.14793,0.734338,118
-0.529001,-1.02163,0.739508,119
0.190548,1.14886,0.717975,120
-0.693386,-0.872948,0.793246,121
1.00495,0.600867,0.7136,122
1.05633,-0.475559,0.739448,123
0.967318,-0.87717,0.437228,124
-0.531252,-1.04999,0.724323,125
-0.446643,-1.05978,0.769321,126
0.971556,-0.673115,0.724642,127
0.147495,1.18052,0.720152,128
-0.168541,1.28733,0.500072,129
0.841218,-1.03593,0.396494,130
0.987904,-0.711123,0.690674,131
-1.21785,-0.602296,0.344013,132
-0.280059,1.13326,0.77864,133
-0.507613,1.04386,0.792867,134
-0.969704,-0.526809,0.872066,135
1.36141,0.192898,0.303163,136
1.33573,-0.216643,0.393258,137
1.09479,-0.526887,0.723404,138
0.939457,-0.996071,0.359417,139
1.23461,-0.664854,0.205491,140
0.20787,1.29684,0.535508,141
-1.10096,0.165075,0.879896,142
-0.611435,1.18281,0.493729,143
1.15502,-0.346497,0.752027,144
-0.655877,1.15364,0.509883,145
1.37555,0.216358,0.298246,146
1.04107,0.5758,0.7827,147
-1.14465,-0.261177,0.819079,148
1.21171,0.0133408,0.763001,149
-0.39627,1.14809,0.765872,150
0.938199,-0.844645,0.695622,151
1.19452,0.742165,0.324625,152
1.41348,-0.00761159,0.295585,153
1.37173,0.355125,0.294226,154
1.07633,0.522,0.817516,155
-0.665295,-1.1616,0.560661,156
-0.616855,-1.18996,0.557649,157
-1.01683,-0.562277,0.872243,158
1.39466,-0.183731,0.375768,159
0.968943,-0.913047,0.591582,160
-1.16345,0.0180047,0.87857,161
0.869351,-1.09352,0.420331,162
1.30478,-0.537277,0.408061,163
1.37633,-0.34832,0.379163,164
0.850632,-0.93898,0.749758,165
-0.5481,-1.15239,0.73683,166
0.84926,-1.05262,0.603197,167
1.28656,-0.618374,0.40862,168
0.117518,1.40875,0.458811,169
-0.686607,0.996147,0.865374,170
1.41516,-0.245802,0.393735,171
1.10433,0.707602,0.70899,172
-0.483726,0.961627,1.03264,173
1.43145,-0.106562,0.409075,174
1.45187,0.262523,0.244628,175
-0.159618,1.30991,0.705132,176
-1.25756,-0.743923,0.328782,177
-0.989056,0.0852294,1.12876,178
1.12307,0.596046,0.804512,179
1.29513,-0.185171,0.754465,180
1.1974,-0.494256,0.777076,181
1.44998,0.354864,0.231469,182
-1.00475,0.33205,1.0832,183
0.861976,-1.00136,0.748183,184
1.08056,0.600714,0.882022,185
-1.16502,-0.319422,0.921356,186
-0.598123,1.21778,0.689458,187
1.12243,-0.946866,0.402918,188
-0.516318,1.2085,0.76994,189
-1.19615,0.222609,0.916972,190
0.892828,-0.972097,0.762261,191
1.22141,-0.50898,0.765263,192
-1.17388,0.444446,0.878257,193
1.20899,-0.857483,0.391961,194
1.31768,0.601825,0.504868,195
-0.707626,-1.10193,0.803773,196
1.51684,0.0449092,0.244446,197
1.35574,-0.602766,0.41483,198
0.88678,-1.15421,0.505749,199
-0.768724,-1.06766,0.810461,200
1.20892,0.635418,0.72718,201
-1.16623,-0.298708,0.972322,202
1.46112,0.385869,0.336312,203
-1.17171,-0.514572,0.874177,204
0.837567,-1.23887,0.407139,205
-1.28009,-0.843738,0.244903,206
1.10892,-1.01362,0.393449,207
1.4289,-0.454667,0.410525,208
1.4495,-0.442419,0.37607,209
1.35038,-0.653445,0.433554,210
1.46568,-0.36276,0.411962,211
1.3544,0.148243,0.770937,212
1.50475,0.346559,0.27393,213
1.28574,-0.40669,0.802189,214
-0.525342,-1.34055,0.62897,215
1.32012,-0.74696,0.416021,216
1.2466,0.624238,0.731333,217
1.48569,-0.334406,0.405176,218
1.45853,-0.501091,0.327364,219
-0.526522,-1.30859,0.704663,220
1.32983,-0.323975,0.784184,221
-0.228032,1.39111,0.713963,222
-1.0263,-0.860036,0.839692,223
-0.0156279,1.50799,0.477993,224
-0.752075,1.34596,0.356859,225
1.21316,0.727308,0.710212,226
-1.17987,0.288724,1.02042,227
1.5542,0.251965,0.203447,228
-1.24144,-0.570297,0.809186,229
1.14443,-0.804737,0.757655,230
0.839924,-1.27653,0.448412,231
-0.593653,-1.41147,0.440756,232
1.22621,-0.946251,0.38118,233
1.31674,-0.39702,0.809203,234
-1.20533,0.0175487,1.04661,235
1.58314,0.0177674,0.215984,236
-1.04455,-0.847951,0.874533,237
-0.566711,-1.43373,0.448006,238
0.880413,-1.08402,0.79592,239
-1.19787,0.50244,0.953786,240
0.782972,-1.16514,0.802261,241
-0.769724,1.01951,0.992357,242
-1.23235,-0.142114,1.04013,243
1.17439,-0.812661,0.765619,244
