# Meta-Data
filename,method,iterations,points
/home/jesus/thesis_ws/src/sparse_map_utils/clouds/test/separator/bedroom.pcd,inner,7,914163
# Data
simulation,time,distorsion,stddev,clusters,requested
0,0.295,879217.037,14088.361,16,16
1,0.191,857192.764,10320.945,16,16
2,0.172,860951.633,10918.033,16,16
3,0.175,873609.829,11062.506,16,16
4,0.171,868165.714,12489.570,16,16
5,0.227,646420.137,7691.960,32,32
6,0.225,640520.823,7429.801,32,32
7,0.225,632344.111,5852.263,32,32
8,0.235,635245.816,6394.615,32,32
9,0.239,639006.573,6407.339,32,32
10,0.290,547607.467,7078.683,48,48
11,0.295,531971.679,5464.774,48,48
12,0.294,537842.038,6382.475,48,48
13,0.287,536808.312,4882.181,48,48
14,0.306,535192.719,5369.310,48,48
15,0.342,469394.749,3661.662,64,64
16,0.345,469813.000,3855.748,64,64
17,0.355,473107.898,4623.310,64,64
18,0.344,482362.261,4946.802,64,64
19,0.342,474751.340,3567.390,64,64
