# Meta-Data
filename,method,iterations,points
/home/jesus/thesis_ws/src/sparse_map_utils/clouds/test/separator/bedroom.pcd,kmeansCPU,7,914163
# Data
simulation,time,distorsion,stddev,clusters,requested
0,0.896,860855.787,9874.680,16,16
1,0.393,857592.776,12037.955,16,16
2,0.398,864513.568,15542.908,16,16
3,0.396,887293.001,18904.927,16,16
4,0.395,867166.746,11998.735,16,16
5,0.654,631144.189,6434.459,32,32
6,0.658,640063.926,7805.155,32,32
7,0.650,643039.758,7077.439,32,32
8,0.654,638450.554,7726.657,32,32
9,0.649,639501.408,7637.936,32,32
10,0.910,533857.547,4692.564,48,48
11,1.002,540819.394,5631.972,48,48
12,0.957,538978.748,4492.847,48,48
13,0.913,540416.307,6581.876,48,48
14,0.923,536472.997,4624.811,48,48
15,1.174,470412.089,3657.458,64,64
16,1.152,476535.694,4194.974,64,64
17,1.223,474380.997,3759.314,64,64
18,1.129,470774.646,3576.480,64,64
19,1.138,469754.417,3428.770,64,64
