# Meta-Data
filename,method,iterations,points
/home/jesus/thesis_ws/src/sparse_map_utils/clouds/test/separator/bedroom.pcd,uniform,7,20136
# Data
simulation,time,distorsion,stddev,clusters,requested
0,0.113,inf,753.168,8,16
1,0.013,inf,1057.116,9,16
2,0.016,inf,1057.116,9,16
3,0.018,inf,703.275,8,16
4,0.020,inf,1057.116,9,16
5,0.021,369614.086,421.967,19,32
6,0.021,inf,475.868,20,32
7,0.019,inf,461.424,19,32
8,0.023,inf,409.047,20,32
9,0.023,inf,465.225,19,32
10,0.024,495787.612,302.072,28,48
11,0.026,453097.491,294.079,28,48
12,0.024,545079.889,341.950,27,48
13,0.013,456567.815,368.924,28,48
14,0.017,inf,287.314,29,48
15,0.028,inf,251.557,37,64
16,0.022,inf,282.653,38,64
17,0.029,inf,272.721,38,64
18,0.016,377771.205,253.014,39,64
19,0.030,453136.444,253.659,39,64
