# Meta-Data
filename,method,iterations,points
/home/jesus/thesis_ws/src/sparse_map_utils/clouds/test/d-1295527104.022905-2364153130.pgm,kmeansCPU,7,307200
# Data
simulation,time,distorsion,stddev,clusters,requested
0,0.309,1742152.413,8630.136,16,16
1,0.130,1750577.359,7310.915,16,16
2,0.130,1969545.463,16043.549,16,16
3,0.131,1719749.589,8125.221,16,16
4,0.169,1728006.930,8755.578,16,16
5,0.255,1178726.832,4498.605,32,32
6,0.220,1230079.847,4376.981,32,32
7,0.251,1147493.201,4259.121,32,32
8,0.241,1138672.553,6381.959,32,32
9,0.243,1228723.080,4099.021,32,32
10,0.336,1048851.153,3498.959,48,48
11,0.333,906852.897,3276.271,48,48
12,0.322,965232.190,4206.722,48,48
