# Meta-Data
filename,method,iterations,points
/home/jesus/thesis_ws/src/sparse_map_utils/clouds/test/separator/panoxyz20d20.exr,inner,7,824916
# Data
simulation,time,distorsion,mean,stddev,clusters,requested
0,0.300,776285.099,51557.250,24253.453,16,16
1,0.187,776285.099,51557.250,24253.453,16,16
2,0.173,776285.099,51557.250,24253.453,16,16
3,0.172,812595.776,51557.250,16777.700,16,16
4,0.174,812595.776,51557.250,16777.700,16,16
5,0.173,812595.776,51557.250,16777.700,16,16
6,0.174,812595.776,51557.250,16777.700,16,16
7,0.175,812595.776,51557.250,16777.700,16,16
8,0.171,799190.535,51557.250,18321.635,16,16
9,0.173,799190.535,51557.250,18321.635,16,16
10,0.174,799190.535,51557.250,18321.635,16,16
11,0.173,799190.535,51557.250,18321.635,16,16
12,0.173,799190.535,51557.250,18321.635,16,16
13,0.175,752966.530,51557.250,17819.958,16,16
14,0.172,752966.530,51557.250,17819.958,16,16
15,0.254,559016.156,25778.625,8290.835,32,32
16,0.256,559016.156,25778.625,8290.835,32,32
17,0.255,549380.381,25778.625,8417.560,32,32
18,0.257,549380.381,25778.625,8417.560,32,32
19,0.258,549380.381,25778.625,8417.560,32,32
20,0.256,549380.381,25778.625,8417.560,32,32
21,0.254,588584.671,25778.625,12142.695,32,32
22,0.256,588584.671,25778.625,12142.695,32,32
23,0.254,588584.671,25778.625,12142.695,32,32
24,0.255,588584.671,25778.625,12142.695,32,32
25,0.255,560938.573,25778.625,7383.823,32,32
26,0.256,560938.573,25778.625,7383.823,32,32
27,0.253,560938.573,25778.625,7383.823,32,32
28,0.257,611653.782,25778.625,8918.634,32,32
29,0.255,611653.782,25778.625,8918.634,32,32
