# Meta-Data
filename,method,iterations,points
/home/jesus/thesis_ws/src/sparse_map_utils/clouds/test/separator/panoxyz20d20.exr,kpp,7,824916
# Data
simulation,time,distorsion,mean,stddev,clusters,requested
0,1.272,748798.042,51557.250,17425.017,16,16
1,0.539,741083.410,51557.250,22482.144,16,16
2,0.511,820734.744,51557.250,31221.100,16,16
3,0.543,820734.744,51557.250,31221.100,16,16
4,0.514,759497.224,51557.250,26289.257,16,16
5,0.510,759497.224,51557.250,26289.257,16,16
6,0.511,758613.068,51557.250,26677.840,16,16
7,0.515,758613.068,51557.250,26677.840,16,16
8,0.499,770690.930,51557.250,26329.440,16,16
9,0.498,770690.930,51557.250,26329.440,16,16
10,0.521,779363.180,51557.250,23536.840,16,16
11,0.514,779363.180,51557.250,23536.840,16,16
12,0.503,749454.064,51557.250,20699.259,16,16
13,0.505,749454.064,51557.250,20699.259,16,16
14,0.506,803540.517,51557.250,29762.236,16,16
15,1.578,544867.068,25778.625,10934.668,32,32
16,1.477,548778.156,25778.625,9912.313,32,32
17,1.593,563081.362,25778.625,12866.295,32,32
18,1.470,546630.244,25778.625,11264.326,32,32
19,1.545,558598.203,25778.625,14229.498,32,32
20,1.450,550978.233,25778.625,12083.874,32,32
21,1.575,558748.436,25778.625,13162.000,32,32
22,1.430,548897.874,25778.625,11422.241,32,32
23,1.499,545762.381,25778.625,8327.051,32,32
24,1.517,549761.801,25778.625,9494.696,32,32
25,1.490,542129.667,25778.625,11312.103,32,32
26,1.532,550348.089,25778.625,9963.200,32,32
27,1.458,558341.953,25778.625,13456.902,32,32
28,1.549,558329.354,25778.625,13885.967,32,32
29,1.455,544113.686,25778.625,9352.268,32,32
