# Meta-Data
filename,method,iterations,points
/home/jesus/thesis_ws/src/sparse_map_utils/clouds/test/separator/wrs2018.pcd,inner,7,1362112
# Data
simulation,time,distorsion,mean,stddev,clusters,requested
0,0.447,1434833.456,85132.000,26993.873,16,16
1,0.320,1451743.059,85132.000,27396.678,16,16
2,0.311,1474998.770,85132.000,28291.205,16,16
3,0.311,1457570.822,85132.000,23476.657,16,16
4,0.347,1437431.655,85132.000,33943.564,16,16
5,0.478,1035656.103,42566.000,15108.015,32,32
6,0.462,1023544.271,42566.000,11117.569,32,32
7,0.495,1050257.879,42566.000,16392.474,32,32
8,0.452,1036711.262,42566.000,17472.695,32,32
9,0.453,1018477.877,42566.000,17673.318,32,32
10,0.632,841341.234,28377.333,11454.964,48,48
11,0.640,854134.085,28377.333,10036.797,48,48
12,0.679,845486.028,28377.333,11079.861,48,48
13,0.736,845276.889,28377.333,11841.963,48,48
14,0.660,842951.468,28377.333,10932.297,48,48
15,0.809,754562.406,21283.000,8146.545,64,64
16,0.844,745447.626,21283.000,7877.095,64,64
17,0.842,744950.928,21283.000,8697.281,64,64
18,0.767,750423.258,21283.000,9174.062,64,64
19,0.756,741490.849,21283.000,9483.920,64,64
