Clusters: 1024
Codebook: x,y,z,label
Occupied Nodes: 663
-0.366419,0.209647,0.503231,0
-0.56815,0.0126799,0.441439,1
-0.389,0.47475,0.546765,2
-0.354679,0.0454761,0.741576,3
0.0726644,0.472123,0.673757,4
0.223732,0.736948,0.367924,5
-0.290328,0.270202,0.769965,6
-0.431862,-0.322661,0.733341,7
-0.29446,0.538247,0.770683,8
0.223793,0.694644,0.687596,9
-0.279625,0.914032,0.362233,10
-0.945261,-0.191645,0.354084,11
-0.649383,-0.0213044,0.835173,12
-0.69104,-0.704072,0.394462,13
-0.625587,0.279386,0.821919,14
0.240383,0.935444,0.464727,15
-0.517702,0.588808,0.769486,16
-0.836659,-0.278533,0.795348,17
-0.510449,-0.757032,0.766064,18
-0.744346,-0.925303,0.108485,19
0.0267509,0.832265,0.86,20
0.995924,0.677097,0.135088,21
1.16601,-0.204929,0.330586,22
1.02957,-0.546227,0.390843,23
-0.42204,0.831976,0.835217,24
0.259753,1.10653,0.581764,25
1.01234,-0.738067,0.248884,26
1.02833,0.117711,0.751998,27
0.205157,0.972907,0.832985,28
-1.20499,-0.466401,0.119695,29
1.05283,-0.207712,0.745325,30
0.235438,1.23485,0.37336,31
1.27395,0.0464761,0.322333,32
-0.582263,-1.18488,0.119288,33
-0.519916,-1.10407,0.519319,34
-0.8755,-0.540254,0.897846,35
1.01995,-0.550752,0.741079,36
-0.944845,0.147957,0.996927,37
-0.828106,0.70829,0.851793,38
-1.05991,-0.126105,0.883665,39
1.31135,0.360956,0.288685,40
1.06327,0.420034,0.803621,41
-0.112728,1.08504,0.880066,42
-1.15387,-0.70234,0.381663,43
-0.726675,-1.11392,0.454089,44
0.952689,-0.961917,0.407783,45
1.31102,-0.397476,0.397292,46
0.91366,-0.952015,0.587145,47
-1.06603,0.481346,0.863216,48
-1.16681,0.189165,0.852283,49
-0.117558,1.37759,0.498773,50
1.08731,0.666565,0.732236,51
0.226553,1.26726,0.711362,52
-1.13061,-0.42053,0.845737,53
-0.472106,0.982904,1.00803,54
-0.446956,-1.20961,0.754718,55
0.923091,-0.893895,0.784057,56
1.3439,0.665473,0.312752,57
-0.0158851,1.30161,0.824456,58
-0.463243,1.29756,0.7001,59
1.31802,0.134654,0.799061,60
-0.902161,-0.933751,0.847274,61
-1.11383,0.280437,1.04797,62
-1.14778,0.0289367,1.05517,63
1.344,-0.721746,0.325649,64
-0.686109,-1.12008,0.844544,65
1.53349,-0.0786831,0.311216,66
-1.13952,-0.206667,1.0573,67
-0.517011,-1.42715,0.461735,68
-1.12466,-0.800598,0.81557,69
-1.11004,-0.467712,1.06132,70
1.32638,-0.417579,0.802604,71
1.31005,0.483761,0.799739,72
1.29784,-0.872658,0.413212,73
1.58333,0.289867,0.169681,74
-1.12614,0.485194,1.0643,75
-0.781634,1.03263,0.984392,76
-0.20548,1.61616,0.141617,77
-1.18928,0.794282,0.794965,78
-1.19509,-1.06686,0.368341,79
0.882134,-1.31435,0.466193,80
1.4122,-0.165273,0.855589,81
-1.03633,-0.762564,1.05846,82
1.35482,0.70272,0.671546,83
1.5678,0.358523,0.466818,84
-0.0900552,1.48786,0.763908,85
1.56601,-0.466762,0.370475,86
-1.10989,0.709636,1.0402,87
0.861291,-1.23795,0.780332,88
1.36787,0.0594185,1.02746,89
-0.764218,1.38387,0.660157,90
-0.914097,-1.05224,1.02587,91
1.6143,0.647651,0.211474,92
1.39204,-0.637997,0.856054,93
1.29534,-1.11944,0.400563,94
1.30715,-0.855959,0.808257,95
1.1344,-1.10561,0.781278,96
-1.12989,1.08222,0.835026,97
-0.0481605,1.70726,0.505842,98
-0.735686,-1.63742,0.102004,99
-1.07312,1.38713,0.412531,100
1.59306,0.637137,0.550193,101
1.57335,-0.801131,0.371761,102
0.230417,1.59161,0.831912,103
1.62221,-0.175948,0.788284,104
-0.45417,-1.59936,0.721249,105
-0.826792,-1.34502,0.892193,106
-1.1249,0.95732,1.05428,107
1.61671,0.318873,0.775829,108
1.66119,0.103015,0.750395,109
-0.230082,1.49271,1.03267,110
1.51247,0.330741,0.984916,111
1.59726,-0.496937,0.764392,112
-1.21935,-1.35233,0.295445,113
1.43702,0.771303,0.879043,114
1.5892,0.510988,0.819322,115
1.57086,-0.190846,0.985723,116
1.5743,0.710544,0.781973,117
-0.0391744,1.75853,0.713842,118
-0.0822444,1.65682,0.948831,119
1.29828,-1.36129,0.390183,120
-1.16189,1.32054,0.776071,121
1.63341,0.0740454,1.02942,122
-1.17794,1.54229,0.135558,123
-1.10186,1.23331,1.03515,124
-0.291723,1.85405,0.569727,125
1.35751,-1.02325,0.989723,126
0.964157,-1.53543,0.769599,127
1.32715,-1.20592,0.845825,128
1.64338,-0.857293,0.711103,129
-0.845045,-1.5776,0.892829,130
-1.15756,-1.32742,0.983698,131
-1.06074,1.48253,0.989072,132
-1.08914,1.7743,0.111223,133
-0.0941987,1.90673,0.866636,134
-0.305926,1.89226,0.858522,135
1.25174,-1.49141,0.805053,136
-0.723836,1.84749,0.712096,137
1.32158,-1.3407,1.01801,138
-1.09717,1.80305,0.371342,139
-0.866637,1.87843,0.571718,140
1.62467,-1.19263,0.750515,141
-0.564684,-1.96689,0.743895,142
0.913686,-1.87018,0.688036,143
-0.91226,-1.834,0.826763,144
-0.887261,1.80209,0.922817,145
-0.640207,2.09665,0.328028,146
1.17568,-1.76679,0.8532,147
-1.19587,-1.67114,1.01094,148
-0.62295,2.12389,0.600631,149
-0.55929,-2.1801,0.470285,150
1.54601,-1.50808,0.797002,151
1.15618,-1.95577,0.418212,152
0.820875,-2.04584,0.722254,153
-1.2408,-1.96586,0.198494,154
-0.734505,-2.18324,0.482053,155
-1.08904,1.82553,1.06603,156
-0.396157,-2.22593,0.743092,157
0.880311,-2.18207,0.402487,158
1.69439,-1.59981,0.663695,159
-0.644861,2.1959,0.805945,160
1.43605,-1.80899,0.825566,161
-1.05045,2.01048,0.949637,162
-0.625359,2.3358,0.458072,163
-0.924764,-2.17219,0.867852,164
0.872417,-2.25155,0.739785,165
1.238,-2.03378,0.870822,166
-1.19601,-2.0053,0.993427,167
-0.683533,-2.27126,0.968679,168
-0.645267,2.48409,0.103922,169
2.35309,1.04141,0.281109,170
1.44474,-1.89952,1.03123,171
1.61088,-2.02347,0.478654,172
2.3396,1.03909,0.625718,173
1.78828,-1.70782,0.924332,174
1.23716,-2.30351,0.420216,175
-0.832349,-2.47324,0.504211,176
2.26731,1.31736,0.503472,177
-0.746786,2.53937,0.387549,178
-1.07843,-2.45093,0.11877,179
-1.07384,2.25567,1.00738,180
-0.731218,2.49807,0.762321,181
2.61292,0.665235,0.294902,182
1.20107,-2.31295,0.802223,183
-0.826534,-2.60514,0.113304,184
0.924913,-2.48808,0.662943,185
1.72331,-1.98987,0.749206,186
-0.603958,-2.5414,0.873474,187
2.61394,0.6594,0.592348,188
2.59248,0.912016,0.265057,189
2.26225,1.55376,0.361703,190
-1.19459,-2.29558,1.02719,191
2.46318,1.01826,0.811668,192
2.51452,1.11966,0.526063,193
2.42953,1.39051,0.208834,194
1.26926,-2.28774,1.02123,195
2.75917,0.423231,0.387026,196
2.60996,0.619383,0.880191,197
2.72977,-0.644853,0.364588,198
2.62113,0.895206,0.627123,199
2.72775,0.386907,0.689584,200
2.40675,1.26731,0.839828,201
2.2682,1.61416,0.634806,202
-0.983974,-2.6574,0.399658,203
-0.604864,2.79606,0.294026,204
1.51923,-2.27978,0.913578,205
2.72211,-0.7417,0.636605,206
-1.10961,2.64908,0.404607,207
2.37336,1.47468,0.788458,208
2.63929,0.831787,0.930011,209
-1.06656,2.54118,0.963902,210
2.78711,-0.478801,0.735605,211
-0.696822,2.74477,0.740099,212
2.74351,-0.965961,0.354881,213
2.29304,1.8069,0.278468,214
-0.836927,-2.69335,0.848989,215
-0.801433,-2.77723,0.571618,216
1.53321,-2.51893,0.112839,217
1.24719,-2.56536,0.770529,218
2.78791,0.401132,0.93439,219
-0.871504,-2.83898,0.18681,220
2.70937,1.19399,0.394334,221
2.30701,1.84246,0.505984,222
2.7624,-0.658874,0.983204,223
2.66443,1.10236,0.912548,224
2.77326,-1.00412,0.671991,225
1.58233,-2.5046,0.668084,226
2.30338,1.84531,0.730172,227
-1.20315,-2.64555,0.960946,228
2.96638,0.438727,0.721024,229
3.0338,-0.452021,0.495688,230
2.92634,-0.720491,0.779037,231
-0.883255,2.8811,0.784186,232
3.02058,-0.191853,0.734854,233
2.5374,1.82788,0.103738,234
-0.929277,-2.8904,0.794621,235
-0.835395,3.02002,0.323976,236
2.94301,-1.07631,0.421029,237
2.83158,1.04784,0.956829,238
2.88757,-0.886841,0.995101,239
-1.08894,2.82142,0.998067,240
-1.12666,2.95711,0.384259,241
-0.874764,-3.04627,0.372201,242
2.4316,2.01759,0.454693,243
2.72297,1.40234,0.906903,244
3.13796,0.47873,0.449611,245
-0.641851,3.14056,0.148695,246
2.54425,1.83098,0.777456,247
2.56287,1.88294,0.572958,248
-0.866683,-3.05795,0.62363,249
3.19815,-0.215947,0.468622,250
